row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73214_0,2862,34888,73214,"Or2013_0425_CF_07","","",0.0,0.0,5.00,mw,true,11465.61,60,200.92,64,1.09,64,38.34,64,93.94,64,1380.08,64,650.68,64,0.06,64,0,64,0.36,60,4.52,64,1,64,1797.97,64,1.50,4,3.70,64,2.14,64
73214_0,2862,34888,73214,"Or2013_0425_CF_07","","",0.0,0.0,5.00,mw,false,108660.21,113,201.20,162,,,NaN,162,62.66,162,2165.93,162,843.72,162,1.03,162,,,0.28,113,,,1.02,162,1267.54,162,,,,,2.63,162
73214_0,2862,34888,73214,"Or2013_0425_CF_07","","",0.0,0.0,2.40,slot,true,11420.06,37,189.15,40,1.16,40,40.15,40,89.83,40,1416.79,40,666.88,40,0.13,40,0,40,0.35,37,4.16,40,1,40,1683.85,40,1.50,4,3.78,40,2.15,40
73214_0,2862,34888,73214,"Or2013_0425_CF_07","","",0.0,0.0,2.40,slot,false,8632.08,47,219.65,75,,,NaN,75,69.65,75,2186.59,75,819.39,75,0.55,75,,,0.32,47,,,1.04,75,1411.84,75,,,,,2.75,75
73214_2,2862,34888,73214,"Or2013_0425_CF_07","","",2.0,2.4,5.00,mw,true,11465.61,60,200.92,64,1.09,64,38.34,64,93.94,64,1380.08,64,650.68,64,0.06,64,0,64,0.36,60,4.52,64,1,64,1797.97,64,1.50,4,3.70,64,2.14,64
73214_2,2862,34888,73214,"Or2013_0425_CF_07","","",2.0,2.4,5.00,mw,false,454074.09,209,304.43,269,,,NaN,269,48.20,269,1922.60,269,801.05,269,0.88,269,,,0.22,209,,,1.02,269,1116.53,269,,,,,2.41,269
73214_2,2862,34888,73214,"Or2013_0425_CF_07","","",2.0,2.4,2.40,slot,true,11538.90,23,220.55,24,0.96,24,35.33,24,100.79,24,1318.91,24,623.68,24,-0.04,24,0,24,0.38,23,5.12,24,1,24,1988.17,24,,,3.58,24,2.13,24
73214_2,2862,34888,73214,"Or2013_0425_CF_07","","",2.0,2.4,2.40,slot,false,585869.18,149,288.52,180,,,NaN,180,41.42,180,1811.13,180,791.76,180,1.06,180,,,0.20,149,,,1.02,180,972.68,180,,,,,2.28,180
73214_4,2862,34888,73214,"Or2013_0425_CF_07","","",4.0,4.8,5.00,mw,true,6481.62,2,434.00,2,0.75,2,100,2,40,2,920.41,2,461.21,2,-1,2,0,2,0.20,2,3.90,2,1,2,1043.50,2,,,3.50,2,2,2
73214_4,2862,34888,73214,"Or2013_0425_CF_07","","",4.0,4.8,5.00,mw,false,778892.10,121,430.00,140,,,NaN,140,29.23,140,1690.46,140,773.38,140,1.11,140,,,0.16,121,,,1.01,140,882.94,140,,,,,2.16,140
73214_4,2862,34888,73214,"Or2013_0425_CF_07","","",4.0,4.8,2.40,slot,true,7621.95,1,646.84,1,1.19,1,100,1,36,1,909.39,1,455.70,1,-1,1,0,1,0.21,1,2.90,1,1,1,1307,1,,,3,1,2,1
73214_4,2862,34888,73214,"Or2013_0425_CF_07","","",4.0,4.8,2.40,slot,false,407667.86,18,1118.65,19,,,60.03,19,21.32,19,2296.22,19,835.47,19,0.79,19,,,0.19,18,,,1,19,1538.42,19,,,,,2.68,19
73214_6,2862,34888,73214,"Or2013_0425_CF_07","","",6.0,7.2,5.00,mw,true,155915.57,48,2050.11,48,1.01,48,48.05,48,185.71,48,1376.07,48,616.67,48,0.13,48,0,48,0.19,48,3.96,48,1.04,48,11087.71,48,1.26,19,4.33,48,2.27,48
