row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
69820_0,2862,33206,69820,"RR20121025_D1_elute_19","Velos Orbitrap","1.0",0.0,0.0,5.00,mw,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69820_0,2862,33206,69820,"RR20121025_D1_elute_19","Velos Orbitrap","1.0",0.0,0.0,5.00,mw,false,1587.31,5,453.19,28,,,NaN,28,167.96,28,1747.10,28,770.70,28,2.75,28,,,0.21,5,,,1,28,10573.57,28,,,,,2.18,28
69820_0,2862,33206,69820,"RR20121025_D1_elute_19","Velos Orbitrap","1.0",0.0,0.0,3.20,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69820_0,2862,33206,69820,"RR20121025_D1_elute_19","Velos Orbitrap","1.0",0.0,0.0,3.20,slot,false,1684.06,3,478.41,26,,,NaN,26,167.54,26,1778.66,26,778.49,26,3,26,,,0.17,3,,,1,26,11188.15,26,,,,,2.19,26
69820_2,2862,33206,69820,"RR20121025_D1_elute_19","Velos Orbitrap","1.0",2.0,3.2,5.00,mw,true,6235.08,3,1913.97,3,1.76,3,43.99,3,369.33,3,1160.94,3,505.77,3,0.67,3,0,3,0.07,3,-1.03,3,1,3,12051.33,3,1,3,5,3,2.33,3
69820_2,2862,33206,69820,"RR20121025_D1_elute_19","Velos Orbitrap","1.0",2.0,3.2,5.00,mw,false,4016.87,32,192.81,57,,,NaN,57,130.86,57,2214.55,57,908.96,57,0.21,57,,,0.24,32,,,1,57,2255.09,57,,,,,2.40,57
69820_2,2862,33206,69820,"RR20121025_D1_elute_19","Velos Orbitrap","1.0",2.0,3.2,3.20,slot,true,6235.08,3,1913.97,3,1.76,3,43.99,3,369.33,3,1160.94,3,505.77,3,0.67,3,0,3,0.07,3,-1.03,3,1,3,12051.33,3,1,3,5,3,2.33,3
69820_2,2862,33206,69820,"RR20121025_D1_elute_19","Velos Orbitrap","1.0",2.0,3.2,3.20,slot,false,3642.51,20,173.56,37,,,NaN,37,127.65,37,2473.77,37,1003.28,37,0.03,37,,,0.15,20,,,1,37,1814.97,37,,,,,2.49,37
69820_4,2862,33206,69820,"RR20121025_D1_elute_19","Velos Orbitrap","1.0",4.0,6.4,5.00,mw,true,2516.81,2,1485.88,2,15.27,2,23.33,2,322,2,799.37,2,400.69,2,0,2,0,2,0.09,2,-11.60,2,2,2,13312,2,,,3,2,2,2
69820_4,2862,33206,69820,"RR20121025_D1_elute_19","Velos Orbitrap","1.0",4.0,6.4,5.00,mw,false,5303.27,42,195.22,57,,,NaN,57,118.28,57,2272.99,57,914.46,57,0.37,57,,,0.30,42,,,1,57,2211.84,57,,,,,2.30,57
