row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73715_0,2862,35187,73715,"Or2013_0513_CF_04","","",0.0,0.0,5.00,mw,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73715_0,2862,35187,73715,"Or2013_0513_CF_04","","",0.0,0.0,5.00,mw,false,2276.18,50,93.97,67,,,45.01,67,76.21,67,1847.36,67,766.04,67,0.54,67,,,0.27,50,,,1,67,1119.36,67,,,,,2.31,67
73715_0,2862,35187,73715,"Or2013_0513_CF_04","","",0.0,0.0,2.40,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73715_0,2862,35187,73715,"Or2013_0513_CF_04","","",0.0,0.0,2.40,slot,false,2984.78,30,102.64,43,,,44.36,43,81.40,43,1494.19,43,702.58,43,0.37,43,,,0.23,30,,,1,43,1269.47,43,,,,,2.09,43
73715_2,2862,35187,73715,"Or2013_0513_CF_04","","",2.0,2.4,5.00,mw,true,10533.55,1,521.26,3,4.66,3,66.67,3,150.67,3,1288.23,3,645.12,3,0,3,0,3,0.15,1,14.27,3,1,3,4400,3,,,2.67,3,2,3
73715_2,2862,35187,73715,"Or2013_0513_CF_04","","",2.0,2.4,5.00,mw,false,21735.56,96,973.65,143,,,43.47,143,133.03,143,1758.61,143,700.85,143,0.79,143,,,0.24,96,,,1,143,5590.41,143,,,,,2.43,143
73715_2,2862,35187,73715,"Or2013_0513_CF_04","","",2.0,2.4,2.40,slot,true,,,769.42,2,0.89,2,100,2,211,2,1210.52,2,606.27,2,0,2,0,2,,,14.80,2,1,2,6480,2,,,3,2,2,2
73715_2,2862,35187,73715,"Or2013_0513_CF_04","","",2.0,2.4,2.40,slot,false,45675.65,33,2085.71,54,,,45.03,54,183.28,54,1939.56,54,696.64,54,1.09,54,,,0.29,33,,,1,54,10992.91,54,,,,,2.72,54
73715_4,2862,35187,73715,"Or2013_0513_CF_04","","",4.0,4.8,5.00,mw,true,10533.55,1,521.26,3,4.66,3,66.67,3,150.67,3,1288.23,3,645.12,3,0,3,0,3,0.15,1,14.27,3,1,3,4400,3,,,2.67,3,2,3
73715_4,2862,35187,73715,"Or2013_0513_CF_04","","",4.0,4.8,5.00,mw,false,29056.43,71,1278.63,107,,,45.12,107,149.44,107,1727.30,107,683.85,107,0.78,107,,,0.24,71,,,1,107,7027.28,107,,,,,2.47,107
73715_4,2862,35187,73715,"Or2013_0513_CF_04","","",4.0,4.8,2.40,slot,true,10533.55,1,24.93,1,12.19,1,0,1,30,1,1443.66,1,722.84,1,0,1,0,1,0.15,1,13.20,1,1,1,240,1,,,2,1,2,1
73715_4,2862,35187,73715,"Or2013_0513_CF_04","","",4.0,4.8,2.40,slot,false,13574.95,37,448.36,51,,,42.22,51,117.35,51,1797.04,51,705.54,51,0.82,51,,,0.23,37,,,1,51,3055.51,51,,,,,2.41,51
73715_6,2862,35187,73715,"Or2013_0513_CF_04","","",6.0,7.2,5.00,mw,true,3487.75,4,104.82,4,13.45,4,84.14,4,59.50,4,1196.80,4,599.41,4,0.25,4,0,4,0.31,4,11.88,4,1,4,704.25,4,,,2.25,4,2,4
73715_6,2862,35187,73715,"Or2013_0513_CF_04","","",6.0,7.2,5.00,mw,false,24814.61,123,434.64,137,,,NaN,137,104.37,137,1334.16,137,587.93,137,0.56,137,,,0.31,123,,,1.05,137,2515.73,137,,,,,2.24,137
73715_6,2862,35187,73715,"Or2013_0513_CF_04","","",6.0,7.2,2.40,slot,true,4392.11,1,106.41,1,29.47,1,36.56,1,90,1,931.44,1,466.73,1,1,1,0,1,0.10,1,13.40,1,1,1,1201,1,,,3,1,2,1
73715_6,2862,35187,73715,"Or2013_0513_CF_04","","",6.0,7.2,2.40,slot,false,10443.37,49,231.77,57,,,NaN,57,75.61,57,1343.67,57,594.55,57,0.30,57,,,0.33,49,,,1,57,1433.56,57,,,,,2.25,57
73715_8,2862,35187,73715,"Or2013_0513_CF_04","","",8.0,9.6,5.00,mw,true,713747.51,9,8280.35,9,6.79,9,81.80,9,132.67,9,1172.21,9,587.11,9,2,9,0,9,0.24,9,12.39,9,1,9,39384.44,9,,,2.89,9,2,9
73715_8,2862,35187,73715,"Or2013_0513_CF_04","","",8.0,9.6,5.00,mw,false,20827.29,248,538.58,281,,,NaN,281,113.41,281,1316.16,281,568.97,281,0.54,281,,,0.31,248,,,1.05,281,3046.45,281,,,,,2.28,281
73715_8,2862,35187,73715,"Or2013_0513_CF_04","","",8.0,9.6,2.40,slot,true,16111.41,5,136.62,5,6.33,5,80,5,72.80,5,1251.57,5,626.79,5,-0.20,5,0,5,0.31,5,12.08,5,1,5,1053.80,5,,,2.20,5,2,5
73715_8,2862,35187,73715,"Or2013_0513_CF_04","","",8.0,9.6,2.40,slot,false,26448.89,139,665.06,152,,,48.37,152,120.29,152,1330.79,152,585.65,152,0.52,152,,,0.30,139,,,1.07,152,3581.43,152,,,,,2.26,152
73715_10,2862,35187,73715,"Or2013_0513_CF_04","","",10.0,12.0,5.00,mw,true,803329.45,8,9363.30,8,1.99,8,87.46,8,156.25,8,1226.92,8,614.47,8,2.13,8,0,8,0.27,8,13.39,8,1,8,44466.63,8,,,2.88,8,2,8
73715_10,2862,35187,73715,"Or2013_0513_CF_04","","",10.0,12.0,5.00,mw,false,45799.10,323,1132.98,372,,,49.08,372,128.12,372,1485.00,372,618.82,372,0.80,372,,,0.33,323,,,1.08,372,5899.08,372,,,,,2.33,372
73715_10,2862,35187,73715,"Or2013_0513_CF_04","","",10.0,12.0,2.40,slot,true,2112926.16,3,24577.89,3,0,3,99.89,3,246.67,3,1120.19,3,561.10,3,6,3,0,3,0.17,3,12.57,3,1,3,115996.67,3,,,4,3,2,3
73715_10,2862,35187,73715,"Or2013_0513_CF_04","","",10.0,12.0,2.40,slot,false,67896.30,137,1307.44,164,,,45.62,164,129.80,164,1431.89,164,591.16,164,1.02,164,,,0.32,137,,,1.07,164,7354.58,164,,,,,2.31,164
73715_12,2862,35187,73715,"Or2013_0513_CF_04","","",12.0,14.4,5.00,mw,true,1064994.26,6,12450.67,6,1.78,6,83.28,6,190.33,6,1388.09,6,630.75,6,3,6,0,6,0.30,6,12.73,6,1,6,59175.83,6,1,1,2.67,6,2.17,6
73715_12,2862,35187,73715,"Or2013_0513_CF_04","","",12.0,14.4,5.00,mw,false,62764.72,437,1564.61,501,,,44.27,501,171.82,501,1602.86,501,630.65,501,0.89,501,,,0.32,437,,,1.13,501,7381.89,501,,,,,2.48,501
73715_12,2862,35187,73715,"Or2013_0513_CF_04","","",12.0,14.4,2.40,slot,true,5619.66,3,267.50,3,2.88,3,100,3,98,3,1350.88,3,676.45,3,0,3,0,3,0.41,3,14.37,3,1,3,1363.33,3,,,2,3,2,3
73715_12,2862,35187,73715,"Or2013_0513_CF_04","","",12.0,14.4,2.40,slot,false,30323.34,178,990.71,205,,,50.41,205,148.47,205,1662.59,205,661.04,205,0.83,205,,,0.34,178,,,1.14,205,5161.68,205,,,,,2.41,205
73715_14,2862,35187,73715,"Or2013_0513_CF_04","","",14.0,16.8,5.00,mw,true,94479.20,6,14997.40,8,1.00,8,55.72,8,349,8,1342.34,8,623.95,8,0.75,8,0,8,0.27,6,12.90,8,1.25,8,75440.50,8,1,1,3.38,8,2.13,8
73715_14,2862,35187,73715,"Or2013_0513_CF_04","","",14.0,16.8,5.00,mw,false,106445.46,654,2283.25,749,,,38.41,749,238.64,749,1705.22,749,639.93,749,0.88,749,,,0.30,654,,,1.16,749,10783.22,749,,,,,2.62,749
73715_14,2862,35187,73715,"Or2013_0513_CF_04","","",14.0,16.8,2.40,slot,true,41490.55,1,243.55,1,2.06,1,0,1,196,1,2315.02,1,772.68,1,0,1,0,1,0.17,1,8.90,1,1,1,3853,1,1,1,2,1,3,1
73715_14,2862,35187,73715,"Or2013_0513_CF_04","","",14.0,16.8,2.40,slot,false,87809.17,346,2401.22,398,,,36.68,398,219.31,398,1710.34,398,644.75,398,0.77,398,,,0.31,346,,,1.16,398,9846.38,398,,,,,2.64,398
73715_16,2862,35187,73715,"Or2013_0513_CF_04","","",16.0,19.2,5.00,mw,true,1577125.75,23,8450.05,25,2.26,25,44.91,25,403.84,25,1345.88,25,641.65,25,0.36,25,0,25,0.24,23,13.40,25,1.36,25,61519.12,25,1,4,3.12,25,2.08,25
