row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73377_0,2862,34987,73377,"Or2013_0502_CF_02","LCMS pre-repair of nano acquity","",0.0,0.0,5.00,mw,true,63842.29,12,2873.92,16,0.42,16,65.15,16,149.94,16,1368.84,16,634.88,16,0.19,16,0,16,0.08,12,0.56,16,1.06,16,10108.56,16,1,1,4.69,16,2.19,16
73377_0,2862,34987,73377,"Or2013_0502_CF_02","LCMS pre-repair of nano acquity","",0.0,0.0,5.00,mw,false,15917.24,27,375.51,32,,,NaN,32,82.66,32,1688.11,32,709.11,32,0.53,32,,,0.20,27,,,1.06,32,2197.03,32,,,,,2.34,32
73377_2,2862,34987,73377,"Or2013_0502_CF_02","LCMS pre-repair of nano acquity","",2.0,2.4,5.00,mw,true,57786.91,19,2078.35,25,0.34,25,44.30,25,149.44,25,1358.11,25,625.86,25,0.16,25,0,25,0.10,19,0.37,25,1.04,25,8382.96,25,1,3,4.56,25,2.20,25
73377_2,2862,34987,73377,"Or2013_0502_CF_02","LCMS pre-repair of nano acquity","",2.0,2.4,5.00,mw,false,16766.69,42,331.13,57,,,NaN,57,68.89,57,1763.80,57,708.70,57,0.46,57,,,0.22,42,,,1.05,57,1726,57,,,,,2.47,57
73377_2,2862,34987,73377,"Or2013_0502_CF_02","LCMS pre-repair of nano acquity","",2.0,2.4,2.40,slot,true,57786.91,19,2078.35,25,0.34,25,44.30,25,149.44,25,1358.11,25,625.86,25,0.16,25,0,25,0.10,19,0.37,25,1.04,25,8382.96,25,1,3,4.56,25,2.20,25
73377_2,2862,34987,73377,"Or2013_0502_CF_02","LCMS pre-repair of nano acquity","",2.0,2.4,2.40,slot,false,19848.87,32,389.15,43,,,NaN,43,83.65,43,1732.65,43,696.71,43,0.42,43,,,0.18,32,,,1.05,43,2111.23,43,,,,,2.49,43
73377_4,2862,34987,73377,"Or2013_0502_CF_02","LCMS pre-repair of nano acquity","",4.0,4.8,5.00,mw,true,60714.60,18,2105.22,24,0.19,24,41.98,24,147.71,24,1309.61,24,622.53,24,0.13,24,0,24,0.10,18,0.54,24,1,24,8532.08,24,1,2,4.58,24,2.13,24
73377_4,2862,34987,73377,"Or2013_0502_CF_02","LCMS pre-repair of nano acquity","",4.0,4.8,5.00,mw,false,18039.77,38,378.96,55,,,42.60,55,66.85,55,1898.28,55,743.27,55,0.58,55,,,0.24,38,,,1.11,55,1772.67,55,,,,,2.51,55
73377_4,2862,34987,73377,"Or2013_0502_CF_02","LCMS pre-repair of nano acquity","",4.0,4.8,2.40,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73377_4,2862,34987,73377,"Or2013_0502_CF_02","LCMS pre-repair of nano acquity","",4.0,4.8,2.40,slot,false,12486.27,8,247.14,11,,,59.08,11,26.45,11,1920.69,11,761.32,11,0.73,11,,,0.38,8,,,1.18,11,742,11,,,,,2.45,11
