row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73257_0,2862,34909,73257,"Or2013_0430_CF_08","10 uL of analyte (Std Prep)","2.0",0.0,0.0,5.00,mw,true,25082.52,50,192.11,54,2.04,54,NaN,54,106.85,54,1366.64,54,621.13,54,0.19,54,0,54,0.30,50,0.58,54,1.06,54,2000.04,54,1.50,8,3.83,54,2.24,54
73257_0,2862,34909,73257,"Or2013_0430_CF_08","10 uL of analyte (Std Prep)","2.0",0.0,0.0,5.00,mw,false,11927.15,104,151.35,123,,,NaN,123,75.02,123,1990.40,123,724.76,123,0.59,123,,,0.29,104,,,1.02,123,1249.24,123,,,,,2.72,123
73257_0,2862,34909,73257,"Or2013_0430_CF_08","10 uL of analyte (Std Prep)","2.0",0.0,0.0,2.40,slot,true,9891.17,26,190.66,28,2.59,28,NaN,28,101.82,28,1354.28,28,632.62,28,0.11,28,0,28,0.34,26,-0.33,28,1.07,28,1691.46,28,1.67,3,3.79,28,2.18,28
73257_0,2862,34909,73257,"Or2013_0430_CF_08","10 uL of analyte (Std Prep)","2.0",0.0,0.0,2.40,slot,false,7049.44,65,125.06,72,,,36.26,72,63.69,72,2055.10,72,719.05,72,0.64,72,,,0.30,65,,,1,72,996.96,72,,,,,2.78,72
73257_2,2862,34909,73257,"Or2013_0430_CF_08","10 uL of analyte (Std Prep)","2.0",2.0,2.4,5.00,mw,true,27607.21,58,261.10,62,1.98,62,NaN,62,122.05,62,1357.30,62,624.62,62,0.39,62,0,62,0.27,58,0.77,62,1.05,62,2617.11,62,1.50,8,3.94,62,2.21,62
73257_2,2862,34909,73257,"Or2013_0430_CF_08","10 uL of analyte (Std Prep)","2.0",2.0,2.4,5.00,mw,false,17193.14,133,267.46,156,,,NaN,156,86.99,156,2005.82,156,737.42,156,0.79,156,,,0.28,133,,,1.03,156,1860.97,156,,,,,2.67,156
73257_2,2862,34909,73257,"Or2013_0430_CF_08","10 uL of analyte (Std Prep)","2.0",2.0,2.4,2.40,slot,true,42001.48,32,319.11,34,1.47,34,36.90,34,138.71,34,1359.78,34,618.03,34,0.62,34,0,34,0.22,32,1.68,34,1.03,34,3379.41,34,1.40,5,4.06,34,2.24,34
73257_2,2862,34909,73257,"Or2013_0430_CF_08","10 uL of analyte (Std Prep)","2.0",2.0,2.4,2.40,slot,false,28341.32,63,395.62,76,,,NaN,76,113.92,76,1873.19,76,723.48,76,0.84,76,,,0.24,63,,,1.05,76,2750.07,76,,,,,2.59,76
73257_4,2862,34909,73257,"Or2013_0430_CF_08","10 uL of analyte (Std Prep)","2.0",4.0,4.8,5.00,mw,true,62383.66,18,503.05,18,1.26,18,35.82,18,178.28,18,1370.91,18,598.06,18,0.94,18,0,18,0.10,18,2.05,18,1,18,5120.39,18,1.67,3,4.56,18,2.33,18
73257_4,2862,34909,73257,"Or2013_0430_CF_08","10 uL of analyte (Std Prep)","2.0",4.0,4.8,5.00,mw,false,36067.81,49,532.57,61,,,53.07,61,117.46,61,2088.64,61,801.61,61,1.20,61,,,0.20,49,,,1.13,61,3262.02,61,,,,,2.54,61
