row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73256_0,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",0.0,0.0,5.00,mw,true,11336.15,17,276.99,17,1.58,17,26.64,17,115.94,17,1449.69,17,683.30,17,0.59,17,0,17,0.22,17,2.34,17,1,17,2348.35,17,,,4.41,17,2.12,17
73256_0,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",0.0,0.0,5.00,mw,false,5736.36,36,212.87,45,,,NaN,45,83.38,45,2004.03,45,741.08,45,0.62,45,,,0.25,36,,,1,45,1590.82,45,,,,,2.80,45
73256_0,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",0.0,0.0,2.40,slot,true,4674.77,8,103.99,8,2.71,8,20.20,8,72.50,8,1137.73,8,569.87,8,0.75,8,0,8,0.40,8,0.49,8,1,8,984.13,8,,,3.63,8,2,8
73256_0,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",0.0,0.0,2.40,slot,false,3843.43,27,97.52,29,,,NaN,29,56.52,29,2055.66,29,779.96,29,0.55,29,,,0.28,27,,,1,29,788.90,29,,,,,2.76,29
73256_2,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",2.0,2.4,5.00,mw,true,19761.57,32,441.69,32,1.07,32,20.49,32,141.69,32,1411.54,32,667.10,32,0.63,32,0,32,0.18,32,1.88,32,1,32,3689.31,32,1,2,4.66,32,2.13,32
73256_2,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",2.0,2.4,5.00,mw,false,8850.77,61,340.58,75,,,NaN,75,97.39,75,2210.74,75,805.04,75,1.03,75,,,0.22,61,,,1.01,75,2089.61,75,,,,,2.76,75
73256_2,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",2.0,2.4,2.40,slot,true,24790.51,24,554.26,24,0.52,24,20.59,24,164.75,24,1502.81,24,699.51,24,0.58,24,0,24,0.10,24,2.35,24,1,24,4591.04,24,1,2,5,24,2.17,24
73256_2,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",2.0,2.4,2.40,slot,false,16004.79,24,521.12,35,,,34.11,35,144.17,35,2030.36,35,721.38,35,0.94,35,,,0.12,24,,,1,35,3432.57,35,,,,,2.80,35
73256_4,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",4.0,4.8,5.00,mw,true,22967.00,27,527.47,27,0.93,27,20.25,27,155.81,27,1428.13,27,668.05,27,0.56,27,0,27,0.11,27,2.46,27,1,27,4297.78,27,1,3,4.96,27,2.15,27
73256_4,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",4.0,4.8,5.00,mw,false,10983.07,49,396.76,63,,,48.03,63,101.29,63,2670.78,63,955.51,63,1.78,63,,,0.19,49,,,1.02,63,2320.44,63,,,,,2.78,63
73256_4,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",4.0,4.8,2.40,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73256_4,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",4.0,4.8,2.40,slot,false,5841.71,14,312.36,17,,,61.37,17,44.76,17,3127.45,17,1121.31,17,2.47,17,,,0.28,14,,,1.06,17,982.35,17,,,,,2.71,17
73256_6,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",6.0,7.2,5.00,mw,true,13510714.79,157,69852.02,159,1.09,159,37.32,159,416.33,159,1688.37,159,675.64,159,0.88,159,0,159,0.15,157,1.35,159,1.03,159,514201.08,159,1.18,73,4.97,159,2.55,159
73256_6,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",6.0,7.2,5.00,mw,false,2768266.47,379,27597.83,397,,,30.51,397,180.79,397,2451.45,397,804.85,397,0.90,397,,,0.18,379,,,1.01,397,109519.95,397,,,,,3.08,397
73256_6,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",6.0,7.2,2.40,slot,true,170459.07,20,1663.80,22,0.73,22,46.79,22,147.82,22,1168.70,22,572.87,22,0.09,22,0,22,0.15,20,2.07,22,1.09,22,8275.55,22,1,3,5.23,22,2.05,22
73256_6,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",6.0,7.2,2.40,slot,false,12781.26,133,388.49,145,,,35.33,145,70.48,145,2640.65,145,840.51,145,0.64,145,,,0.21,133,,,1.03,145,1588.93,145,,,,,3.13,145
73256_8,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",8.0,9.6,5.00,mw,true,11607928.90,401,61739.81,416,1.61,416,30.53,416,421.64,416,1646.31,416,675.08,416,1.11,416,0,416,0.19,401,0.60,416,1.05,416,422777.48,416,1.42,145,4.61,416,2.44,416
73256_8,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",8.0,9.6,5.00,mw,false,3064161.46,877,32238.66,921,,,28.93,921,245.73,921,2134.22,921,712.34,921,1.16,921,,,0.21,877,,,1.05,921,145319.19,921,,,,,2.99,921
73256_8,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",8.0,9.6,2.40,slot,true,12183659.11,277,71057.06,281,1.75,281,32.23,281,435.28,281,1652.74,281,674.78,281,1.13,281,0,281,0.18,277,0.67,281,1.05,281,477459.85,281,1.32,117,4.62,281,2.47,281
73256_8,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",8.0,9.6,2.40,slot,false,3792095.71,470,33798.48,486,,,28.38,486,265.06,486,2182.16,486,732.37,486,1.16,486,,,0.19,470,,,1.03,486,149246.41,486,,,,,3.01,486
73256_10,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",10.0,12.0,5.00,mw,true,10877049.23,458,81169.46,500,1.77,500,31.10,500,424.37,500,1580.57,500,669.03,500,1.29,500,0,500,0.23,458,0.33,500,1.05,500,439915.47,500,1.37,159,4.51,500,2.36,500
73256_10,2862,34909,73256,"Or2013_0430_CF_05","10 uL of analyte (Std Prep)","2.0",10.0,12.0,5.00,mw,false,2555081.62,1002,27473.32,1093,,,29.82,1093,305.03,1093,1904.00,1093,651.31,1093,1.32,1093,,,0.26,1002,,,1.07,1093,139230.88,1093,,,,,2.88,1093
