row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73259_0,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",0.0,0.0,5.00,mw,true,33910.79,54,438.38,63,1.93,63,31.52,63,113.84,63,1396.96,63,641.86,63,0.19,63,0,63,0.28,54,1.30,63,1.02,63,3249.51,63,1.50,6,4,63,2.19,63
73259_0,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",0.0,0.0,5.00,mw,false,12361.79,174,166.70,220,,,34.42,220,85.25,220,2117.55,220,763.27,220,0.34,220,,,0.31,174,,,1,220,1493.16,220,,,,,2.80,220
73259_0,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",0.0,0.0,2.40,slot,true,12705.63,23,144.23,30,2.98,30,38.83,30,89.07,30,1398.62,30,649.78,30,0.20,30,0,30,0.30,23,0.40,30,1,30,1426.43,30,2,2,3.80,30,2.17,30
73259_0,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",0.0,0.0,2.40,slot,false,6076.43,100,144.83,125,,,31.93,125,74.62,125,2120.43,125,778.50,125,0.35,125,,,0.32,100,,,1,125,1158.94,125,,,,,2.77,125
73259_2,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",2.0,2.4,5.00,mw,true,35208.65,64,638.51,74,2.33,74,29.65,74,129.55,74,1381.72,74,634.44,74,0.42,74,0,74,0.25,64,1.28,74,1.01,74,3854.88,74,1.33,9,4.01,74,2.19,74
73259_2,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",2.0,2.4,5.00,mw,false,13591.89,204,232.59,260,,,NaN,260,98.10,260,2131.58,260,769.93,260,0.50,260,,,0.29,204,,,1.01,260,2118.33,260,,,,,2.78,260
73259_2,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",2.0,2.4,2.40,slot,true,47832.29,41,975.53,44,1.88,44,23.39,44,157.16,44,1370.21,44,623.99,44,0.57,44,0,44,0.23,41,1.88,44,1.02,44,5510.64,44,1.14,7,4.16,44,2.20,44
73259_2,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",2.0,2.4,2.40,slot,false,22556.54,94,327.70,123,,,35.57,123,127.26,123,2080.24,123,735.65,123,0.55,123,,,0.26,94,,,1.02,123,3220.56,123,,,,,2.82,123
73259_4,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",4.0,4.8,5.00,mw,true,66214.38,27,1367.58,30,2.35,30,41.97,30,171.10,30,1357.79,30,614.20,30,0.70,30,0,30,0.13,27,1.76,30,1,30,7142.07,30,1,4,4.17,30,2.20,30
73259_4,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",4.0,4.8,5.00,mw,false,33133.34,50,526.71,71,,,NaN,71,157.68,71,2189.50,71,786.08,71,1.20,71,,,0.17,50,,,1.06,71,4787.62,71,,,,,2.76,71
73259_4,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",4.0,4.8,2.40,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73259_4,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",4.0,4.8,2.40,slot,false,4344.45,13,174.94,17,,,NaN,17,39.59,17,2962.83,17,1074.32,17,2,17,,,0.23,13,,,1,17,756.29,17,,,,,2.65,17
73259_6,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",6.0,7.2,5.00,mw,true,353828.21,141,2456.67,151,1.90,151,28.63,151,220.99,151,1441.50,151,612.55,151,0.72,151,0,151,0.17,141,0.22,151,1.03,151,12481.23,151,1.03,30,4.26,151,2.33,151
73259_6,2862,34910,73259,"Or2013_0430_CF_09","20 uL of analyte (Std Prep)","4.0",6.0,7.2,5.00,mw,false,75100.98,299,808.03,320,,,30.51,320,109.70,320,2145.14,320,758.83,320,0.72,320,,,0.20,299,,,1.01,320,3414.97,320,,,,,2.71,320
