row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73155_0,2862,34869,73155,"Or2013_0425_CF_03","","",0.0,0.0,5.00,mw,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73155_0,2862,34869,73155,"Or2013_0425_CF_03","","",0.0,0.0,5.00,mw,false,4055.58,12,50.77,20,,,NaN,20,17.15,20,4160.46,20,1199.42,20,1.50,20,,,0.28,12,,,1,20,247.10,20,,,,,3.70,20
73155_2,2862,34869,73155,"Or2013_0425_CF_03","","",2.0,2.4,5.00,mw,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73155_2,2862,34869,73155,"Or2013_0425_CF_03","","",2.0,2.4,5.00,mw,false,224271.97,274,972.60,315,,,NaN,315,31.10,315,1674.81,315,752.24,315,0.41,315,,,0.26,274,,,1.01,315,1875.29,315,,,,,2.17,315
73155_2,2862,34869,73155,"Or2013_0425_CF_03","","",2.0,2.4,2.40,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73155_2,2862,34869,73155,"Or2013_0425_CF_03","","",2.0,2.4,2.40,slot,false,339780.08,159,1264.60,178,,,NaN,178,31.13,178,1664.16,178,756.48,178,0.50,178,,,0.22,159,,,1.02,178,2451.66,178,,,,,2.15,178
73155_4,2862,34869,73155,"Or2013_0425_CF_03","","",4.0,4.8,5.00,mw,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73155_4,2862,34869,73155,"Or2013_0425_CF_03","","",4.0,4.8,5.00,mw,false,157108.27,411,818.25,468,,,NaN,468,30.22,468,1546.07,468,729.51,468,0.31,468,,,0.30,411,,,1.04,468,1653.30,468,,,,,2.09,468
73155_4,2862,34869,73155,"Or2013_0425_CF_03","","",4.0,4.8,2.40,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73155_4,2862,34869,73155,"Or2013_0425_CF_03","","",4.0,4.8,2.40,slot,false,46650.22,203,581.00,228,,,NaN,228,31.07,228,1577.44,228,724.74,228,0.22,228,,,0.33,203,,,1.04,228,1202.46,228,,,,,2.14,228
73155_6,2862,34869,73155,"Or2013_0425_CF_03","","",6.0,7.2,5.00,mw,true,93553.05,24,1558.91,24,1.44,24,34.41,24,172.08,24,1242.90,24,599.33,24,0,24,0,24,0.18,24,3.74,24,1.04,24,8422.71,24,1,8,4.83,24,2.08,24
73155_6,2862,34869,73155,"Or2013_0425_CF_03","","",6.0,7.2,5.00,mw,false,36567.43,369,522.68,422,,,NaN,422,38.59,422,1742.20,422,766.16,422,0.21,422,,,0.29,369,,,1.05,422,1653.59,422,,,,,2.27,422
73155_6,2862,34869,73155,"Or2013_0425_CF_03","","",6.0,7.2,2.40,slot,true,15308.58,1,316.97,1,1.31,1,0,1,61,1,815.37,1,408.69,1,0,1,0,1,0.08,1,3.80,1,2,1,2494,1,,,5,1,2,1
