row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73254_0,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",0.0,0.0,5.00,mw,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73254_0,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",0.0,0.0,5.00,mw,false,7632.37,6,68.12,11,,,65.60,11,22.36,11,2269.37,11,908.18,11,1.09,11,,,0.23,6,,,1,11,336.45,11,,,,,2.45,11
73254_2,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",2.0,2.4,5.00,mw,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73254_2,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",2.0,2.4,5.00,mw,false,9125.22,14,357.47,20,,,NaN,20,27.25,20,2463.64,20,949.72,20,1.60,20,,,0.31,14,,,1,20,1111.75,20,,,,,2.45,20
73254_2,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",2.0,2.4,2.40,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73254_2,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",2.0,2.4,2.40,slot,false,9126.67,11,376.58,15,,,NaN,15,28.87,15,2438.72,15,948.25,15,1.40,15,,,0.30,11,,,1,15,1175.47,15,,,,,2.47,15
73254_4,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",4.0,4.8,5.00,mw,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73254_4,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",4.0,4.8,5.00,mw,false,9228.68,11,473.32,14,,,NaN,14,32.36,14,2590.67,14,954.95,14,1.64,14,,,0.37,11,,,1,14,1442.57,14,,,,,2.50,14
73254_6,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",6.0,7.2,5.00,mw,true,4688398.20,137,15241.30,142,1.20,142,41.93,142,374.31,142,1684.17,142,682.00,142,0.91,142,0,142,0.18,137,1.52,142,1.03,142,113745.30,142,1.29,55,4.54,142,2.51,142
73254_6,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",6.0,7.2,5.00,mw,false,778028.62,402,6824.48,426,,,23.02,426,214.66,426,2321.20,426,737.50,426,1.03,426,,,0.19,402,,,1.02,426,31990.75,426,,,,,3.19,426
73254_6,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",6.0,7.2,2.40,slot,true,199595.69,35,2710.81,40,0.90,40,37.72,40,275.93,40,1744.83,40,678.01,40,0.83,40,0,40,0.20,35,2.66,40,1.05,40,18306.73,40,1.38,16,4.28,40,2.60,40
73254_6,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",6.0,7.2,2.40,slot,false,43366.11,144,1089.22,163,,,21.95,163,119.52,163,2631.76,163,817.64,163,0.55,163,,,0.21,144,,,1.02,163,4313.10,163,,,,,3.28,163
73254_8,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",8.0,9.6,5.00,mw,true,4771888.38,329,15978.77,344,1.09,344,33.12,344,398.79,344,1591.47,344,669.92,344,1.17,344,0,344,0.19,329,1.13,344,1.03,344,112906.51,344,1.27,116,4.55,344,2.40,344
73254_8,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",8.0,9.6,5.00,mw,false,1044826.45,838,9631.87,874,,,25.32,874,266.88,874,2110.46,874,695.66,874,1.18,874,,,0.21,838,,,1.03,874,43648.33,874,,,,,3.05,874
73254_8,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",8.0,9.6,2.40,slot,true,5538298.69,205,21464.80,211,1.02,211,36.01,211,426.17,211,1617.89,211,677.11,211,1.03,211,0,211,0.18,205,0.61,211,1.04,211,153621.33,211,1.27,86,4.63,211,2.43,211
73254_8,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",8.0,9.6,2.40,slot,false,1455207.27,455,16053.04,463,,,24.60,463,307.09,463,1968.25,463,667.55,463,1.30,463,,,0.20,455,,,1.03,463,68793.06,463,,,,,3.00,463
73254_10,2862,34908,73254,"Or2013_0430_CF_04","5 uL of analyte (Std Prep)","1.0",10.0,12.0,5.00,mw,true,4745779.50,343,28832.40,369,1.04,369,28.39,369,426.07,369,1532.25,369,662.17,369,1.38,369,0,369,0.23,343,1.07,369,1.04,369,175767.03,369,1.40,96,4.53,369,2.33,369
