row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73255_10,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",10.0,12.0,5.00,mw,true,935178.03,182,2570.07,199,1.56,199,NaN,199,261.63,199,1509.64,199,687.76,199,0.71,199,0,199,0.24,182,0.23,199,1.03,199,15702.28,199,1.12,26,4.40,199,2.19,199
73255_10,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",10.0,12.0,5.00,mw,false,281438.80,868,2874.11,919,,,NaN,919,159.63,919,2083.65,919,755.27,919,0.85,919,,,0.27,868,,,1.04,919,11213.81,919,,,,,2.65,919
73255_10,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",10.0,12.0,2.40,slot,true,634615.22,73,1795.64,75,1.61,75,31.32,75,252.03,75,1517.71,75,695.04,75,0.71,75,0,75,0.25,73,0.45,75,1.04,75,14889.35,75,1,12,4.33,75,2.17,75
73255_10,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",10.0,12.0,2.40,slot,false,333062.05,436,4581.92,463,,,25.25,463,138.45,463,2213.24,463,792.76,463,0.84,463,,,0.27,436,,,1.03,463,14779.78,463,,,,,2.67,463
73255_12,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",12.0,14.4,5.00,mw,true,2175091.69,250,14957.67,277,1.01,277,NaN,277,346.56,277,1520.81,277,698.49,277,1.04,277,0,277,0.23,250,0.47,277,1.04,277,78324.36,277,1.12,41,4.44,277,2.17,277
73255_12,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",12.0,14.4,5.00,mw,false,578570.51,860,3866.41,935,,,27.79,935,212.18,935,1863.09,935,698.56,935,1.04,935,,,0.26,860,,,1.04,935,19210.03,935,,,,,2.61,935
73255_12,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",12.0,14.4,2.40,slot,true,2277291.34,100,24102.11,121,0.85,121,NaN,121,338.30,121,1587.72,121,724.70,121,0.99,121,0,121,0.24,100,0.24,121,1.07,121,133127.31,121,1.36,14,4.36,121,2.20,121
73255_12,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",12.0,14.4,2.40,slot,false,509460.77,409,1345.88,456,,,28.96,456,219.76,456,1729.46,456,672.87,456,0.98,456,,,0.27,409,,,1.03,456,9782.73,456,,,,,2.54,456
73255_14,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",14.0,16.8,5.00,mw,true,3164308.70,347,23799.34,372,1.51,372,31.66,372,412.00,372,1584.39,372,704.74,372,1.35,372,0,372,0.23,347,0.21,372,1.05,372,114584.16,372,1.10,81,4.40,372,2.26,372
73255_14,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",14.0,16.8,5.00,mw,false,945538.27,869,4866.74,935,,,27.53,935,284.76,935,1928.37,935,658.09,935,1.38,935,,,0.26,869,,,1.05,935,33167.82,935,,,,,2.87,935
73255_14,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",14.0,16.8,2.40,slot,true,3459192.11,194,16145.01,203,1.09,203,32.69,203,420.50,203,1537.75,203,701.44,203,1.14,203,0,203,0.22,194,0.33,203,1.02,203,76083.89,203,1.09,32,4.43,203,2.20,203
73255_14,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",14.0,16.8,2.40,slot,false,1071341.67,409,5641.20,430,,,28.52,430,284.83,430,1751.12,430,648.20,430,1.46,430,,,0.24,409,,,1.05,430,36240.67,430,,,,,2.67,430
73255_16,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",16.0,19.2,5.00,mw,true,3374943.87,378,22069.78,398,1.60,398,29.64,398,405.65,398,1530.05,398,676.38,398,1.56,398,0,398,0.23,378,0.41,398,1.03,398,99093.83,398,1.04,79,4.38,398,2.28,398
73255_16,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",16.0,19.2,5.00,mw,false,1155917.21,946,7045.88,1003,,,25.28,1003,310.31,1003,2571.12,1003,701.45,1003,1.51,1003,,,0.27,946,,,1.08,1003,45623.00,1003,,,,,3.45,1003
