row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73215_0,2862,34888,73215,"Or2013_0425_CF_08","","",0.0,0.0,5.00,mw,true,9160.21,59,200.81,62,1.44,62,31.28,62,112.11,62,1421.19,62,645.14,62,0.18,62,0,62,0.37,59,5.95,62,1.03,62,2152.81,62,1.40,10,3.94,62,2.23,62
73215_0,2862,34888,73215,"Or2013_0425_CF_08","","",0.0,0.0,5.00,mw,false,98929.02,177,220.40,216,,,NaN,216,78.48,216,2199.55,216,745.50,216,0.59,216,,,0.30,177,,,1.01,216,1596.15,216,,,,,3.05,216
73215_0,2862,34888,73215,"Or2013_0425_CF_08","","",0.0,0.0,2.40,slot,true,8407.28,37,169.68,39,1.67,39,30.40,39,110.85,39,1466.83,39,658.56,39,0.31,39,0,39,0.37,37,5.92,39,1,39,1968.08,39,1.33,9,3.97,39,2.26,39
73215_0,2862,34888,73215,"Or2013_0425_CF_08","","",0.0,0.0,2.40,slot,false,7849.94,92,238.45,103,,,33.87,103,90.26,103,2065.82,103,653.75,103,0.27,103,,,0.33,92,,,1,103,1844.68,103,,,,,3.23,103
73215_2,2862,34888,73215,"Or2013_0425_CF_08","","",2.0,2.4,5.00,mw,true,9121.42,60,212.83,63,1.43,63,32.37,63,111.14,63,1413.07,63,642.14,63,0.16,63,0,63,0.37,60,5.97,63,1.03,63,2146.78,63,1.40,10,3.92,63,2.22,63
73215_2,2862,34888,73215,"Or2013_0425_CF_08","","",2.0,2.4,5.00,mw,false,250029.28,367,276.02,431,,,NaN,431,50.11,431,2002.10,431,813.64,431,0.51,431,,,0.25,367,,,1.00,431,1118.89,431,,,,,2.55,431
73215_2,2862,34888,73215,"Or2013_0425_CF_08","","",2.0,2.4,2.40,slot,true,10426.48,22,253.58,23,1.06,23,32.78,23,114.26,23,1343.80,23,622.38,23,-0.04,23,0,23,0.38,22,6.00,23,1.09,23,2466.04,23,2,1,3.87,23,2.17,23
73215_2,2862,34888,73215,"Or2013_0425_CF_08","","",2.0,2.4,2.40,slot,false,413020.61,205,322.53,247,,,NaN,247,45.60,247,1866.86,247,769.02,247,0.68,247,,,0.23,205,,,1.01,247,1078.48,247,,,,,2.43,247
73215_4,2862,34888,73215,"Or2013_0425_CF_08","","",4.0,4.8,5.00,mw,true,7632.98,3,614.29,3,0.22,3,66.67,3,90.67,3,1173.50,3,587.76,3,-0.67,3,0,3,0.17,3,5.03,3,1,3,2821,3,,,4,3,2,3
73215_4,2862,34888,73215,"Or2013_0425_CF_08","","",4.0,4.8,5.00,mw,false,382488.02,236,307.19,274,,,NaN,274,26.23,274,1880.87,274,872.41,274,0.62,274,,,0.20,236,,,1,274,703.79,274,,,,,2.13,274
73215_4,2862,34888,73215,"Or2013_0425_CF_08","","",4.0,4.8,2.40,slot,true,6832.90,1,958.10,1,0.58,1,100,1,51,1,909.39,1,455.70,1,-1,1,0,1,0.24,1,7,1,1,1,1773,1,,,3,1,2,1
73215_4,2862,34888,73215,"Or2013_0425_CF_08","","",4.0,4.8,2.40,slot,false,81137.98,79,193.05,91,,,NaN,91,14.65,91,2367.79,91,1128.11,91,0.33,91,,,0.22,79,,,1,91,368.62,91,,,,,2.08,91
73215_6,2862,34888,73215,"Or2013_0425_CF_08","","",6.0,7.2,5.00,mw,true,3590352.55,46,22110.04,46,0.68,46,35.13,46,224.30,46,1479.19,46,637.25,46,0.50,46,0,46,0.15,46,7.64,46,1,46,61689.78,46,1.40,10,3.89,46,2.33,46
73215_6,2862,34888,73215,"Or2013_0425_CF_08","","",6.0,7.2,5.00,mw,false,504060.43,181,2226.54,197,,,NaN,197,80.43,197,2172.49,197,770.23,197,0.50,197,,,0.22,181,,,1,197,6310.32,197,,,,,2.66,197
73215_6,2862,34888,73215,"Or2013_0425_CF_08","","",6.0,7.2,2.40,slot,true,32773.30,3,345.85,3,1.49,3,100,3,59.33,3,897.08,3,449.55,3,-0.67,3,0,3,0.21,3,6.63,3,1,3,2018,3,,,4,3,2,3
73215_6,2862,34888,73215,"Or2013_0425_CF_08","","",6.0,7.2,2.40,slot,false,7061.84,25,208.54,27,,,47.97,27,26.96,27,2348.73,27,789.81,27,0.67,27,,,0.31,25,,,1,27,673.22,27,,,,,2.63,27
73215_8,2862,34888,73215,"Or2013_0425_CF_08","","",8.0,9.6,5.00,mw,true,7361524.01,295,59619.14,338,0.86,338,36.97,338,393.43,338,1524.86,338,677.42,338,0.78,338,0,338,0.22,295,5.61,338,1.05,338,278792.68,338,1.13,150,4.33,338,2.29,338
73215_8,2862,34888,73215,"Or2013_0425_CF_08","","",8.0,9.6,5.00,mw,false,1480967.08,548,15852.99,576,,,NaN,576,226.70,576,1989.22,576,718.45,576,0.74,576,,,0.23,548,,,1.04,576,68627.49,576,,,,,2.77,576
73215_8,2862,34888,73215,"Or2013_0425_CF_08","","",8.0,9.6,2.40,slot,true,6605528.24,150,84174.38,165,0.72,165,41.44,165,382.99,165,1559.57,165,678.96,165,0.68,165,0,165,0.20,150,5.99,165,1.02,165,334516.78,165,1.10,84,4.19,165,2.34,165
73215_8,2862,34888,73215,"Or2013_0425_CF_08","","",8.0,9.6,2.40,slot,false,1640179.74,333,18430.40,350,,,NaN,350,183.76,350,2022.15,350,725.83,350,0.61,350,,,0.21,333,,,1.03,350,63434.83,350,,,,,2.77,350
73215_10,2862,34888,73215,"Or2013_0425_CF_08","","",10.0,12.0,5.00,mw,true,7887983.57,493,79490.32,586,0.75,586,36.94,586,397.38,586,1471.97,586,664.77,586,0.79,586,0,586,0.26,493,5.07,586,1.05,586,387667.70,586,1.18,204,4.53,586,2.23,586
73215_10,2862,34888,73215,"Or2013_0425_CF_08","","",10.0,12.0,5.00,mw,false,1865070.43,823,14771.90,882,,,NaN,882,273.52,882,1940.21,882,708.26,882,0.92,882,,,0.27,823,,,1.06,882,73656.83,882,,,,,2.76,882
73215_10,2862,34888,73215,"Or2013_0425_CF_08","","",10.0,12.0,2.40,slot,true,9153246.12,246,34688.40,299,0.81,299,33.55,299,392.43,299,1440.30,299,667.82,299,0.90,299,0,299,0.24,246,5.15,299,1.05,299,220919.96,299,1.17,95,4.53,299,2.18,299
73215_10,2862,34888,73215,"Or2013_0425_CF_08","","",10.0,12.0,2.40,slot,false,1824880.31,402,11006.20,431,,,27.86,431,283.19,431,1881.64,431,714.07,431,1.04,431,,,0.27,402,,,1.04,431,71465.34,431,,,,,2.67,431
73215_12,2862,34888,73215,"Or2013_0425_CF_08","","",12.0,14.4,5.00,mw,true,9657300.07,385,135391.65,492,0.84,492,38.82,492,373.85,492,1415.50,492,648.84,492,0.68,492,0,492,0.30,385,4.69,492,1.08,492,599718.16,492,1.25,128,4.65,492,2.17,492
73215_12,2862,34888,73215,"Or2013_0425_CF_08","","",12.0,14.4,5.00,mw,false,2531927.32,827,77896.49,916,,,31.21,916,281.62,916,2178.24,916,726.32,916,0.97,916,,,0.31,827,,,1.11,916,300050.97,916,,,,,2.95,916
73215_12,2862,34888,73215,"Or2013_0425_CF_08","","",12.0,14.4,2.40,slot,true,6389250.99,208,133001.67,259,0.85,259,38.75,259,402.02,259,1473.19,259,654.17,259,0.58,259,0,259,0.33,208,4.47,259,1.14,259,621549.82,259,1.35,71,4.71,259,2.23,259
73215_12,2862,34888,73215,"Or2013_0425_CF_08","","",12.0,14.4,2.40,slot,false,1648833.93,351,22378.09,389,,,28.39,389,280.15,389,2234.86,389,736.10,389,0.87,389,,,0.32,351,,,1.14,389,108274.33,389,,,,,2.98,389
73215_14,2862,34888,73215,"Or2013_0425_CF_08","","",14.0,16.8,5.00,mw,true,11010987.75,354,191899.61,440,1.12,440,42.52,440,377.32,440,1452.43,440,644.64,440,0.71,440,0,440,0.33,354,3.03,440,1.10,440,912021.05,440,1.33,171,4.52,440,2.25,440
73215_14,2862,34888,73215,"Or2013_0425_CF_08","","",14.0,16.8,5.00,mw,false,2793635.66,806,125752.53,923,,,31.75,923,283.65,923,2690.65,923,764.84,923,0.90,923,,,0.33,806,,,1.13,923,465884.12,923,,,,,3.41,923
73215_14,2862,34888,73215,"Or2013_0425_CF_08","","",14.0,16.8,2.40,slot,true,16154027.21,132,269939.93,168,1.64,168,43.68,168,327.74,168,1413.45,168,639.44,168,0.75,168,0,168,0.32,132,2.56,168,1.04,168,1095779.40,168,1.37,57,4.55,168,2.19,168
73215_14,2862,34888,73215,"Or2013_0425_CF_08","","",14.0,16.8,2.40,slot,false,3647691.48,426,201438.60,485,,,35.52,485,289.33,485,2515.86,485,729.41,485,0.94,485,,,0.32,426,,,1.14,485,720342.21,485,,,,,3.35,485
73215_16,2862,34888,73215,"Or2013_0425_CF_08","","",16.0,19.2,5.00,mw,true,8297007.90,375,166546.99,461,1.06,461,37.53,461,384.19,461,1480.43,461,646.89,461,0.93,461,0,461,0.34,375,1.91,461,1.10,461,849001.24,461,1.32,168,4.36,461,2.31,461
73215_16,2862,34888,73215,"Or2013_0425_CF_08","","",16.0,19.2,5.00,mw,false,1759621.89,802,59441.10,909,,,28.44,909,294.79,909,3012.20,909,773.71,909,0.88,909,,,0.34,802,,,1.15,909,248965.96,909,,,,,3.77,909
73215_16,2862,34888,73215,"Or2013_0425_CF_08","","",16.0,19.2,2.40,slot,true,6473621.98,199,141169.64,253,0.67,253,39.28,253,382.22,253,1463.60,253,636.11,253,0.82,253,0,253,0.34,199,2.11,253,1.09,253,890769.54,253,1.29,110,4.36,253,2.34,253
73215_16,2862,34888,73215,"Or2013_0425_CF_08","","",16.0,19.2,2.40,slot,false,1785667.69,372,29591.17,432,,,26.85,432,274.75,432,2950.07,432,790.36,432,0.80,432,,,0.34,372,,,1.11,432,137862.35,432,,,,,3.61,432
73215_18,2862,34888,73215,"Or2013_0425_CF_08","","",18.0,21.6,5.00,mw,true,4532746.71,335,102514.88,419,1.15,419,31.74,419,388.58,419,1488.67,419,653.21,419,1.03,419,0,419,0.33,335,2.85,419,1.09,419,489106.02,419,1.22,114,4.26,419,2.31,419
73215_18,2862,34888,73215,"Or2013_0425_CF_08","","",18.0,21.6,5.00,mw,false,1151390.98,845,9554.38,921,,,24.77,921,305.13,921,3027.79,921,758.58,921,1.09,921,,,0.34,845,,,1.15,921,79914.53,921,,,,,3.83,921
