row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73554_0,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",0.0,0.0,5.00,mw,true,2477.06,5,155.26,7,0.59,7,57.90,7,91.86,7,1611.38,7,677.82,7,-0.57,7,0,7,0.33,5,1.04,7,1,7,1590,7,1,2,4.14,7,2.43,7
73554_0,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",0.0,0.0,5.00,mw,false,4921.60,26,113.45,33,,,52.57,33,62.73,33,2257.63,33,899.94,33,1.33,33,,,0.20,26,,,1,33,867.58,33,,,,,2.64,33
73554_0,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",0.0,0.0,2.40,slot,true,1701.14,4,57.90,4,1.01,4,100,4,35.50,4,1519.81,4,624.33,4,-1,4,0,4,0.30,4,1.55,4,1,4,386.50,4,1,2,3.50,4,2.50,4
73554_0,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",0.0,0.0,2.40,slot,false,4049.95,13,70.05,14,,,53.61,14,43.14,14,2239.90,14,888.09,14,1.36,14,,,0.23,13,,,1,14,546.86,14,,,,,2.57,14
73554_2,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",2.0,2.4,5.00,mw,true,32074.12,16,629.13,22,2.06,22,40.37,22,111.82,22,1498.37,22,624.95,22,0,22,0,22,0.17,16,1.30,22,1,22,3295.05,22,1,2,3.86,22,2.41,22
73554_2,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",2.0,2.4,5.00,mw,false,13481.50,43,305.33,55,,,48.68,55,69.09,55,2469.75,55,892.59,55,1.35,55,,,0.19,43,,,1,55,1868.35,55,,,,,2.78,55
73554_2,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",2.0,2.4,2.40,slot,true,42198.45,12,756.07,18,2.30,18,27.11,18,128.78,18,1493.61,18,625.09,18,0.22,18,0,18,0.13,12,1.25,18,1,18,3941.39,18,,,3.94,18,2.39,18
73554_2,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",2.0,2.4,2.40,slot,false,20033.43,25,444.86,33,,,42.06,33,93.33,33,1948.87,33,779.78,33,1.06,33,,,0.14,25,,,1,33,2773.24,33,,,,,2.58,33
73554_4,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",4.0,4.8,5.00,mw,true,43355.12,12,758.99,18,2.40,18,32.67,18,126.56,18,1487.21,18,621.89,18,0.17,18,0,18,0.10,12,1.29,18,1,18,3914.61,18,,,3.94,18,2.39,18
73554_4,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",4.0,4.8,5.00,mw,false,18175.36,30,422.02,38,,,47.79,38,74.16,38,2621.32,38,918.20,38,1.47,38,,,0.17,30,,,1.03,38,2401.37,38,,,,,2.79,38
73554_4,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",4.0,4.8,2.40,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73554_4,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",4.0,4.8,2.40,slot,false,5496.88,9,141.47,13,,,68.46,13,18,13,4260.90,13,1365.03,13,2.62,13,,,0.24,9,,,1,13,453.38,13,,,,,3.31,13
73554_6,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",6.0,7.2,5.00,mw,true,5646534.69,280,33775.59,283,1.06,283,36.18,283,432.36,283,1543.68,283,636.64,283,0.77,283,0,283,0.17,280,1.27,283,1.01,283,171876.98,283,1.24,139,4.31,283,2.47,283
73554_6,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",6.0,7.2,5.00,mw,false,1300720.57,385,16337.70,394,,,30.31,394,264.44,394,1848.38,394,614.01,394,1.25,394,,,0.19,385,,,1.02,394,63870.09,394,,,,,3.05,394
73554_6,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",6.0,7.2,2.40,slot,true,198212.35,53,3359.49,54,1.29,54,47.93,54,269.09,54,1397.62,54,572.32,54,0.61,54,0,54,0.15,53,1.41,54,1.04,54,17198.89,54,1.19,27,3.74,54,2.48,54
73554_6,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",6.0,7.2,2.40,slot,false,232647.80,146,5384.28,150,,,28.65,150,211.99,150,1968.95,150,643.29,150,0.86,150,,,0.20,146,,,1.03,150,17076.93,150,,,,,3.11,150
73554_8,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",8.0,9.6,5.00,mw,true,4870354.69,486,30227.98,527,1.21,527,35.95,527,422.59,527,1523.22,527,641.09,527,0.87,527,0,527,0.20,486,0.86,527,1.02,527,169967.53,527,1.26,225,4.35,527,2.41,527
73554_8,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",8.0,9.6,5.00,mw,false,1377601.30,725,23013.06,788,,,31.97,788,284.26,788,1855.02,788,624.17,788,1.20,788,,,0.23,725,,,1.05,788,96071.48,788,,,,,2.99,788
73554_8,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",8.0,9.6,2.40,slot,true,6173343.70,331,34438.59,345,1.28,345,33.27,345,449.67,345,1521.59,345,649.40,345,0.88,345,0,345,0.19,331,0.76,345,1.01,345,190989.32,345,1.22,146,4.45,345,2.38,345
73554_8,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",8.0,9.6,2.40,slot,false,1849799.89,428,21577.01,455,,,33.78,455,299.77,455,1790.33,455,608.73,455,1.41,455,,,0.20,428,,,1.03,455,92144.24,455,,,,,2.95,455
73554_10,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",10.0,12.0,5.00,mw,true,4575343.20,428,30336.91,501,1.14,501,34.43,501,410.83,501,1445.38,501,629.26,501,0.94,501,0,501,0.28,428,0.32,501,1.06,501,178803.89,501,1.25,181,4.40,501,2.32,501
73554_10,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",10.0,12.0,5.00,mw,false,1027046.22,702,16847.32,817,,,34.30,817,291.37,817,1958.10,817,658.56,817,1.18,817,,,0.30,702,,,1.09,817,75576.20,817,,,,,2.92,817
73554_10,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",10.0,12.0,2.40,slot,true,3253955.02,185,36809.28,233,0.96,233,37.44,233,415.66,233,1502.29,233,635.99,233,0.87,233,0,233,0.30,185,0.58,233,1.07,233,199113.48,233,1.35,94,4.33,233,2.37,233
73554_10,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",10.0,12.0,2.40,slot,false,783879.26,292,23349.64,348,,,31.96,348,285.10,348,2002.49,348,667.79,348,0.89,348,,,0.32,292,,,1.12,348,98991.01,348,,,,,2.95,348
73554_12,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",12.0,14.4,5.00,mw,true,2644532.93,362,43241.56,429,1.15,429,37.67,429,411.85,429,1457.44,429,634.19,429,0.97,429,0,429,0.31,362,0.71,429,1.08,429,201501.28,429,1.30,146,4.20,429,2.30,429
73554_12,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",12.0,14.4,5.00,mw,false,604279.52,705,6135.17,780,,,33.90,780,284.42,780,2149.83,780,693.58,780,1.15,780,,,0.32,705,,,1.10,780,27001.63,780,,,,,3.01,780
73554_12,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",12.0,14.4,2.40,slot,true,2285544.19,186,38305.98,208,1.01,208,38.85,208,419.17,208,1443.61,208,630.57,208,1.03,208,0,208,0.31,186,0.44,208,1.10,208,183210.45,208,1.29,65,4.32,208,2.29,208
73554_12,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",12.0,14.4,2.40,slot,false,559809.55,328,4120.97,371,,,34.83,371,291.82,371,2081.82,371,666.88,371,1.37,371,,,0.33,328,,,1.09,371,19836.35,371,,,,,3.00,371
73554_14,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",14.0,16.8,5.00,mw,true,3083711.47,369,39940.33,408,1.35,408,39.11,408,397.82,408,1527.32,408,672.40,408,1.04,408,0,408,0.29,369,0.89,408,1.05,408,196260.18,408,1.28,97,4.07,408,2.27,408
73554_14,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",14.0,16.8,5.00,mw,false,1000029.03,746,8916.60,812,,,32.50,812,276.24,812,2354.46,812,741.58,812,1.16,812,,,0.29,746,,,1.07,812,34626.26,812,,,,,3.07,812
73554_14,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",14.0,16.8,2.40,slot,true,3633150.06,168,46312.25,194,1.56,194,41.87,194,382.94,194,1507.30,194,671.43,194,0.90,194,0,194,0.29,168,1.01,194,1.05,194,244355.30,194,1.31,42,3.93,194,2.22,194
73554_14,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",14.0,16.8,2.40,slot,false,903819.25,358,9365.11,379,,,34.33,379,263.92,379,2320.78,379,765.77,379,1.03,379,,,0.29,358,,,1.09,379,36872.14,379,,,,,2.99,379
73554_16,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",16.0,19.2,5.00,mw,true,3030542.31,411,34292.15,451,1.13,451,35.36,451,394.94,451,1476.87,451,669.70,451,1.14,451,0,451,0.27,411,0.87,451,1.03,451,134271.90,451,1.11,94,4.24,451,2.22,451
73554_16,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",16.0,19.2,5.00,mw,false,1007047.59,727,7379.96,798,,,30.40,798,282.60,798,2293.97,798,745.31,798,1.27,798,,,0.28,727,,,1.06,798,32368.20,798,,,,,2.93,798
73554_16,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",16.0,19.2,2.40,slot,true,2395011.05,205,40925.39,223,1.09,223,31.46,223,392.57,223,1480.93,223,658.41,223,1.22,223,0,223,0.27,205,0.91,223,1.02,223,103729.89,223,1.07,55,4.27,223,2.28,223
73554_16,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",16.0,19.2,2.40,slot,false,1226280.84,340,8198.75,382,,,29.47,382,283.87,382,2440.35,382,755.09,382,1.25,382,,,0.27,340,,,1.07,382,33166.52,382,,,,,3.05,382
73554_18,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",18.0,21.6,5.00,mw,true,2197797.58,384,29380.12,441,1.24,441,33.31,441,381.44,441,1431.11,441,653.47,441,1.32,441,0,441,0.27,384,1.05,441,1.02,441,82809.76,441,1.01,91,4.28,441,2.20,441
73554_18,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",18.0,21.6,5.00,mw,false,804382.30,741,4893.63,806,,,26.35,806,301.13,806,2536.18,806,745.77,806,1.42,806,,,0.30,741,,,1.08,806,34046.35,806,,,,,3.21,806
73554_18,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",18.0,21.6,2.40,slot,true,2241497.85,171,16661.56,197,1.42,197,34.19,197,389.95,197,1439.90,197,669.05,197,1.32,197,0,197,0.26,171,1.18,197,1.02,197,67479.81,197,1.03,37,4.20,197,2.16,197
73554_18,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",18.0,21.6,2.40,slot,false,771579.80,385,5685.50,416,,,24.67,416,297.35,416,2434.62,416,735.10,416,1.50,416,,,0.31,385,,,1.06,416,37844.38,416,,,,,3.13,416
73554_20,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",20.0,24.0,5.00,mw,true,3116070.79,356,24712.04,408,1.09,408,31.27,408,389.57,408,1445.46,408,656.85,408,1.13,408,0,408,0.27,356,1.23,408,1.05,408,133976.23,408,1.05,80,4.27,408,2.20,408
73554_20,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",20.0,24.0,5.00,mw,false,710656.89,757,4356.66,819,,,25.86,819,272.51,819,2964.75,819,795.06,819,1.31,819,,,0.32,757,,,1.08,819,30432.22,819,,,,,3.48,819
73554_20,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",20.0,24.0,2.40,slot,true,3620390.90,183,27127.87,212,0.87,212,29.93,212,371.21,212,1422.25,212,646.32,212,1.06,212,0,212,0.27,183,1.18,212,1.03,212,129368.17,212,1.09,43,4.31,212,2.20,212
73554_20,2862,34987,73554,"Or2013_0502_CF_10","LCMS pre-repair of nano acquity","",20.0,24.0,2.40,slot,false,635321.59,336,4002.15,366,,,26.14,366,284.66,366,3067.38,366,790.24,366,1.26,366,,,0.32,336,,,1.10,366,28720.00,366,,,,,3.63,366
