row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73135_0,1002,34828,73135,"A10-07096","","",0.0,0.0,5.00,mw,true,43402.67,1,11532.82,1,6.24,1,48.17,1,814,1,2134.02,1,534.51,1,14,1,0,1,0.07,1,4.50,1,1,1,379847,1,,,2,1,4,1
73135_0,1002,34828,73135,"A10-07096","","",0.0,0.0,5.00,mw,false,10612.40,97,11822.03,162,,,56.93,161,542.77,162,1531.14,162,460.02,162,8.13,161,,,0.42,97,,,1.12,162,144505.10,162,,,,,3.39,162
73135_0,1002,34828,73135,"A10-07096","","",0.0,0.0,2.80,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73135_0,1002,34828,73135,"A10-07096","","",0.0,0.0,2.80,slot,false,8403.73,56,12096.53,121,,,57.52,121,550.11,121,1531.41,121,459.90,121,8.30,121,,,0.42,56,,,1.12,121,147253.61,121,,,,,3.39,121
73135_2,1002,34828,73135,"A10-07096","","",2.0,2.8,5.00,mw,true,43402.67,1,11532.82,1,6.24,1,48.17,1,814,1,2134.02,1,534.51,1,14,1,0,1,0.07,1,4.50,1,1,1,379847,1,,,2,1,4,1
73135_2,1002,34828,73135,"A10-07096","","",2.0,2.8,5.00,mw,false,10746.60,189,11889.24,192,,,63.39,191,569.14,192,1478.83,192,457.64,192,8.19,191,,,0.38,189,,,1.14,192,168888.66,192,,,,,3.29,192
73135_2,1002,34828,73135,"A10-07096","","",2.0,2.8,2.80,slot,true,43402.67,1,11532.82,1,6.24,1,48.17,1,814,1,2134.02,1,534.51,1,14,1,0,1,0.07,1,4.50,1,1,1,379847,1,,,2,1,4,1
73135_2,1002,34828,73135,"A10-07096","","",2.0,2.8,2.80,slot,false,11511.60,114,12234.29,114,,,66.06,113,579.76,114,1459.33,114,456.97,114,8.63,113,,,0.41,114,,,1.16,114,182811.18,114,,,,,3.25,114
73135_4,1002,34828,73135,"A10-07096","","",4.0,5.6,5.00,mw,true,140384.40,60,40646.73,60,3.44,60,28.46,60,669.85,60,1388.67,60,521.66,60,2.05,60,0,60,0.15,60,5.65,60,1.07,60,373303.18,60,1,13,4.03,60,2.73,60
73135_4,1002,34828,73135,"A10-07096","","",4.0,5.6,5.00,mw,false,49720.13,384,28117.58,386,,,51.89,386,633.26,386,1390.84,386,469.80,386,4.27,386,,,0.18,384,,,1.26,386,274125.32,386,,,,,3.02,386
73135_4,1002,34828,73135,"A10-07096","","",4.0,5.6,2.80,slot,true,139467.46,19,74903.91,19,2.93,19,31.69,19,717.05,19,1422.90,19,476.88,19,2.16,19,0,19,0.11,19,5.53,19,1.21,19,628522.74,19,1,6,4.26,19,3.05,19
73135_4,1002,34828,73135,"A10-07096","","",4.0,5.6,2.80,slot,false,60739.02,162,38711.05,164,,,50.31,164,650.48,164,1459.02,164,455.95,164,3.73,164,,,0.16,162,,,1.27,164,377697.62,164,,,,,3.24,164
73135_6,1002,34828,73135,"A10-07096","","",6.0,8.4,5.00,mw,true,262140.26,313,40928.13,313,4.41,313,36.54,313,667.43,313,1296.81,313,536.93,313,2.83,313,0,313,0.19,313,4.19,313,1.07,313,296872.09,313,1.04,83,3.85,313,2.47,313
73135_6,1002,34828,73135,"A10-07096","","",6.0,8.4,5.00,mw,false,98506.06,1020,25411.35,1030,,,49.14,1030,662.16,1030,1264.37,1030,489.56,1030,4.01,1030,,,0.19,1020,,,1.31,1030,262849.92,1030,,,,,2.63,1030
73135_6,1002,34828,73135,"A10-07096","","",6.0,8.4,2.80,slot,true,352366.22,149,27003.28,149,4.62,149,35.34,149,643.03,149,1286.40,149,528.21,149,2.80,149,0,149,0.19,149,4.40,149,1.10,149,247330.57,149,1.09,35,3.64,149,2.47,149
73135_6,1002,34828,73135,"A10-07096","","",6.0,8.4,2.80,slot,false,91115.00,597,23669.60,599,,,49.94,599,641.95,599,1228.22,599,491.92,599,4.27,599,,,0.18,597,,,1.29,599,228592.03,599,,,,,2.54,599
73135_8,1002,34828,73135,"A10-07096","","",8.0,11.2,5.00,mw,true,502598.68,508,44443.34,509,3.49,509,35.47,509,684.72,509,1278.42,509,560.36,509,2.59,509,0,509,0.23,508,3.07,509,1.12,509,334917.73,509,1.05,124,4.50,509,2.33,509
73135_8,1002,34828,73135,"A10-07096","","",8.0,11.2,5.00,mw,false,204517.63,1329,32274.51,1346,,,NaN,1344,663.47,1346,1297.10,1346,537.85,1346,3.55,1344,,,0.23,1329,,,1.24,1346,282264.09,1346,,,,,2.47,1346
73135_8,1002,34828,73135,"A10-07096","","",8.0,11.2,2.80,slot,true,171562.22,273,40769.82,274,3.37,274,37.30,274,693.14,274,1321.04,274,567.88,274,2.87,274,0,274,0.23,273,3.45,274,1.09,274,313062.54,274,1.08,78,4.49,274,2.39,274
73135_8,1002,34828,73135,"A10-07096","","",8.0,11.2,2.80,slot,false,239711.29,701,30878.48,708,,,NaN,706,675.84,708,1288.80,708,515.74,708,3.89,706,,,0.23,701,,,1.25,708,290683.47,708,,,,,2.56,708
73135_10,1002,34828,73135,"A10-07096","","",10.0,14.0,5.00,mw,true,600935.56,467,49090.52,472,3.25,472,35.23,472,692.43,472,1260.70,472,574.40,472,2.48,472,0,472,0.27,467,2.98,472,1.14,472,363351.58,472,1.07,84,4.64,472,2.23,472
73135_10,1002,34828,73135,"A10-07096","","",10.0,14.0,5.00,mw,false,265303.45,1343,33771.25,1361,,,NaN,1361,677.85,1361,1298.92,1361,550.07,1361,3.48,1361,,,0.26,1343,,,1.20,1361,288546.75,1361,,,,,2.41,1361
73135_10,1002,34828,73135,"A10-07096","","",10.0,14.0,2.80,slot,true,736056.39,314,55902.33,319,2.76,319,31.77,319,690.68,319,1277.21,319,581.00,319,2.23,319,0,319,0.28,314,2.90,319,1.14,319,389697.70,319,1,54,4.70,319,2.23,319
73135_10,1002,34828,73135,"A10-07096","","",10.0,14.0,2.80,slot,false,140417.37,849,35535.07,863,,,47.81,863,681.48,863,1331.55,863,559.38,863,3.36,863,,,0.26,849,,,1.20,863,296386.50,863,,,,,2.44,863
73135_12,1002,34828,73135,"A10-07096","","",12.0,16.8,5.00,mw,true,785235.19,488,53457.87,489,3.96,489,41.38,489,705.51,489,1268.71,489,564.97,489,3.00,489,0,489,0.25,488,2.24,489,1.14,489,396386.89,489,1.09,57,4.39,489,2.27,489
73135_12,1002,34828,73135,"A10-07096","","",12.0,16.8,5.00,mw,false,341205.80,1232,58210.20,1244,,,49.11,1242,698.77,1244,1228.72,1244,519.43,1244,3.73,1242,,,0.25,1232,,,1.22,1244,398634.44,1244,,,,,2.40,1244
73135_12,1002,34828,73135,"A10-07096","","",12.0,16.8,2.80,slot,true,767039.22,272,40387.10,272,4.43,272,43.49,272,711.82,272,1211.37,272,560.30,272,3.04,272,0,272,0.25,272,1.59,272,1.14,272,372145.91,272,1.04,28,4.34,272,2.19,272
73135_12,1002,34828,73135,"A10-07096","","",12.0,16.8,2.80,slot,false,398617.69,639,55052.07,642,,,48.04,642,693.22,642,1220.02,642,516.69,642,3.52,642,,,0.26,639,,,1.23,642,393610.88,642,,,,,2.38,642
73135_14,1002,34828,73135,"A10-07096","","",14.0,19.6,5.00,mw,true,982555.81,538,140975.03,539,3.86,539,44.14,539,698.76,539,1310.32,539,580.73,539,2.82,539,0,539,0.26,538,2.24,539,1.11,539,598897.94,539,1.12,76,4.34,539,2.28,539
73135_14,1002,34828,73135,"A10-07096","","",14.0,19.6,5.00,mw,false,335480.86,1127,64418.37,1147,,,NaN,1145,701.22,1147,1216.86,1147,517.60,1147,3.56,1145,,,0.25,1127,,,1.26,1147,437331.40,1147,,,,,2.38,1147
73135_14,1002,34828,73135,"A10-07096","","",14.0,19.6,2.80,slot,true,858204.17,321,55268.32,322,3.51,322,43.42,322,698.41,322,1322.64,322,580.12,322,3.02,322,0,322,0.27,321,2.84,322,1.12,322,369431.22,322,1.08,53,4.31,322,2.30,322
73135_14,1002,34828,73135,"A10-07096","","",14.0,19.6,2.80,slot,false,295983.08,650,60715.85,668,,,47.80,666,698.19,668,1232.93,668,528.88,668,3.71,666,,,0.27,650,,,1.24,668,416098.79,668,,,,,2.37,668
73135_16,1002,34828,73135,"A10-07096","","",16.0,22.4,5.00,mw,true,570066.43,553,123827.74,556,3.59,556,42.10,556,709.85,556,1330.10,556,603.82,556,2.73,556,0,556,0.26,553,3.02,556,1.09,556,540084.93,556,1.08,65,4.18,556,2.22,556
