row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73079_2,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",2.0,5.0,5.00,mw,true,161294.40,2,4122.36,11,5.93,11,38.83,11,484.36,11,1081.04,11,541.53,11,1.55,11,0,11,0.20,2,1.01,11,1,11,28840.45,11,1,3,5,11,2,11
73079_2,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",2.0,5.0,5.00,mw,false,233910.00,9,2156.48,47,,,32.23,47,436.70,47,951.88,47,468.33,47,1.83,47,,,0.18,9,,,1,47,60816.96,47,,,,,2.04,47
73079_2,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",2.0,5.0,5.00,slot,true,161294.40,2,4122.36,11,5.93,11,38.83,11,484.36,11,1081.04,11,541.53,11,1.55,11,0,11,0.20,2,1.01,11,1,11,28840.45,11,1,3,5,11,2,11
73079_2,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",2.0,5.0,5.00,slot,false,233910.00,9,2156.48,47,,,32.23,47,436.70,47,951.88,47,468.33,47,1.83,47,,,0.18,9,,,1,47,60816.96,47,,,,,2.04,47
73079_4,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",4.0,10.0,5.00,mw,true,483608.36,16,6728.32,16,4.01,16,38.80,16,458,16,982.43,16,458.67,16,1.63,16,0,16,0.40,16,-1.20,16,2.19,16,52997,16,1.44,9,3.81,16,2.19,16
73079_4,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",4.0,10.0,5.00,mw,false,594095.68,46,5444.92,46,,,34.79,46,425.54,46,962.94,46,442.57,46,1.76,46,,,0.44,46,,,1.70,46,47172.87,46,,,,,2.22,46
73079_4,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",4.0,10.0,5.00,slot,true,483608.36,16,6728.32,16,4.01,16,38.80,16,458,16,982.43,16,458.67,16,1.63,16,0,16,0.40,16,-1.20,16,2.19,16,52997,16,1.44,9,3.81,16,2.19,16
73079_4,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",4.0,10.0,5.00,slot,false,594095.68,46,5444.92,46,,,34.79,46,425.54,46,962.94,46,442.57,46,1.76,46,,,0.44,46,,,1.70,46,47172.87,46,,,,,2.22,46
73079_6,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",6.0,15.0,5.00,mw,true,1219206.29,357,16488.22,367,5.56,367,36.71,367,503.84,367,1049.23,367,482.30,367,1.87,367,0,367,0.40,357,-1.12,367,1.36,367,94357.95,367,1.15,170,3.69,367,2.22,367
73079_6,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",6.0,15.0,5.00,mw,false,966987.89,607,10930.57,611,,,50.39,611,490.41,611,924.74,611,412.95,611,3.46,611,,,0.40,607,,,1.32,611,103629.09,611,,,,,2.26,611
73079_6,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",6.0,15.0,5.00,slot,true,1219206.29,357,16488.22,367,5.56,367,36.71,367,503.84,367,1049.23,367,482.30,367,1.87,367,0,367,0.40,357,-1.12,367,1.36,367,94357.95,367,1.15,170,3.69,367,2.22,367
73079_6,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",6.0,15.0,5.00,slot,false,966987.89,607,10930.57,611,,,50.39,611,490.41,611,924.74,611,412.95,611,3.46,611,,,0.40,607,,,1.32,611,103629.09,611,,,,,2.26,611
73079_8,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",8.0,20.0,5.00,mw,true,893263.72,135,11843.57,144,6.74,144,45.43,144,494.85,144,1059.36,144,511.33,144,1.78,144,0,144,0.54,135,-1.52,144,1.82,144,83126.06,144,1.10,67,3.74,144,2.09,144
73079_8,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",8.0,20.0,5.00,mw,false,478018.81,230,9259.05,244,,,54.34,243,477.00,244,838.58,244,398.75,244,3.27,243,,,0.52,230,,,1.75,244,79517.00,244,,,,,2.12,244
73079_8,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",8.0,20.0,5.00,slot,true,893263.72,135,11843.57,144,6.74,144,45.43,144,494.85,144,1059.36,144,511.33,144,1.78,144,0,144,0.54,135,-1.52,144,1.82,144,83126.06,144,1.10,67,3.74,144,2.09,144
73079_8,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",8.0,20.0,5.00,slot,false,478018.81,230,9259.05,244,,,54.34,243,477.00,244,838.58,244,398.75,244,3.27,243,,,0.52,230,,,1.75,244,79517.00,244,,,,,2.12,244
73079_10,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",10.0,25.0,5.00,mw,true,580385.74,122,5724.71,126,4.07,126,35.14,126,433.05,126,1128.20,126,541.27,126,1.42,126,0,126,0.52,122,-1.25,126,1.45,126,47755.30,126,1.06,52,4.37,126,2.09,126
73079_10,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",10.0,25.0,5.00,mw,false,331500.46,151,5230.81,162,,,47.99,161,418.23,162,898.90,162,435.94,162,2.36,161,,,0.55,151,,,1.57,162,41700.77,162,,,,,2.08,162
73079_10,1002,34827,73079,"20081129_Orbi6_NaNa_SA_FASP_blacktips_06","125 MCF7 cells","0.1",10.0,25.0,5.00,slot,true,580385.74,122,5724.71,126,4.07,126,35.14,126,433.05,126,1128.20,126,541.27,126,1.42,126,0,126,0.52,122,-1.25,126,1.45,126,47755.30,126,1.06,52,4.37,126,2.09,126
