row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73134_0,1002,34828,73134,"A10-07081","","",0.0,0.0,5.00,mw,true,44086.65,2,11922.17,5,11.32,5,63.94,5,408.80,5,888.21,5,405.03,5,4.40,5,0,5,0.36,2,3.54,5,1.20,5,75666.80,5,1,1,3,5,2.20,5
73134_0,1002,34828,73134,"A10-07081","","",0.0,0.0,5.00,mw,false,6502.25,59,3527.88,89,,,57.01,89,434.24,89,1245.99,89,493.32,89,3.21,89,,,0.32,59,,,1.09,89,50521.72,89,,,,,2.53,89
73134_0,1002,34828,73134,"A10-07081","","",0.0,0.0,3.00,slot,true,,,2206.28,3,9.96,3,57.61,3,366.33,3,816.03,3,409.03,3,5,3,0,3,,,1.93,3,1,3,32553,3,,,3.33,3,2,3
73134_0,1002,34828,73134,"A10-07081","","",0.0,0.0,3.00,slot,false,5648.90,28,3620.20,58,,,54.58,58,421.74,58,1272.40,58,499.62,58,3.24,58,,,0.33,28,,,1.05,58,46162.57,58,,,,,2.55,58
73134_2,1002,34828,73134,"A10-07081","","",2.0,3.0,5.00,mw,true,21898.62,11,20611.74,11,5.97,11,52.46,11,707.09,11,1026.84,11,496.21,11,5.45,11,0,11,0.22,11,5.02,11,1.91,11,299038,11,1,1,2.55,11,2.09,11
73134_2,1002,34828,73134,"A10-07081","","",2.0,3.0,5.00,mw,false,10991.16,195,6260.90,196,,,59.36,196,529.87,196,1221.71,196,479.56,196,4.27,196,,,0.33,195,,,1.17,196,112275.22,196,,,,,2.55,196
73134_2,1002,34828,73134,"A10-07081","","",2.0,3.0,3.00,slot,true,27498.44,4,15928.04,4,9.82,4,61.75,4,566.25,4,1047.75,4,474.78,4,3.75,4,0,4,0.39,4,4.07,4,1.50,4,127348.75,4,1,1,2.50,4,2.25,4
73134_2,1002,34828,73134,"A10-07081","","",2.0,3.0,3.00,slot,false,8753.33,106,3377.69,106,,,62.23,106,484.60,106,1196.96,106,485.01,106,3.98,106,,,0.38,106,,,1.11,106,61579.79,106,,,,,2.45,106
73134_4,1002,34828,73134,"A10-07081","","",4.0,6.0,5.00,mw,true,338957.66,388,98994.20,390,2.39,390,35.51,390,711.06,390,1338.01,390,552.02,390,2.46,390,0,390,0.17,388,4.60,390,1.04,390,511990.87,390,1.11,166,4.67,390,2.44,390
73134_4,1002,34828,73134,"A10-07081","","",4.0,6.0,5.00,mw,false,202936.41,543,65992.40,543,,,41.88,543,670.34,543,1396.31,543,506.61,543,2.64,543,,,0.21,543,,,1.11,543,382536.96,543,,,,,2.73,543
73134_4,1002,34828,73134,"A10-07081","","",4.0,6.0,3.00,slot,true,504306.31,133,95962.73,135,3.53,135,41.53,135,709.04,135,1296.77,135,536.13,135,2.07,135,0,135,0.17,133,4.49,135,1.06,135,570523.59,135,1.29,52,4.15,135,2.41,135
73134_4,1002,34828,73134,"A10-07081","","",4.0,6.0,3.00,slot,false,103455.23,290,65023.44,290,,,46.41,290,677.82,290,1374.17,290,498.46,290,3.16,290,,,0.18,290,,,1.13,290,386221.22,290,,,,,2.76,290
73134_6,1002,34828,73134,"A10-07081","","",6.0,9.0,5.00,mw,true,472894.98,1313,99568.93,1332,1.94,1332,34.58,1332,696.61,1332,1317.46,1332,585.17,1332,2.47,1332,0,1332,0.19,1313,5.21,1332,1.04,1332,572587.17,1332,1.15,439,4.86,1332,2.27,1332
73134_6,1002,34828,73134,"A10-07081","","",6.0,9.0,5.00,mw,false,235921.31,1570,87697.52,1603,,,35.14,1603,504.09,1603,1419.61,1603,546.79,1603,2.53,1603,,,0.19,1570,,,1.06,1603,460698.37,1603,,,,,2.58,1603
73134_6,1002,34828,73134,"A10-07081","","",6.0,9.0,3.00,slot,true,355295.91,822,93045.20,837,1.93,837,33.35,837,691.83,837,1348.12,837,583.56,837,2.87,837,0,837,0.20,822,5.58,837,1.04,837,556672.55,837,1.16,324,4.80,837,2.33,837
73134_6,1002,34828,73134,"A10-07081","","",6.0,9.0,3.00,slot,false,219550.43,1061,76030.08,1087,,,35.31,1087,459.13,1087,1480.40,1087,548.40,1087,2.83,1087,,,0.20,1061,,,1.05,1087,408331.50,1087,,,,,2.68,1087
73134_8,1002,34828,73134,"A10-07081","","",8.0,12.0,5.00,mw,true,899370.03,1736,113629.11,1759,1.99,1759,35.21,1759,691.59,1759,1263.42,1759,603.10,1759,2.11,1759,0,1759,0.18,1736,4.54,1759,1.08,1759,700429.43,1759,1.14,352,4.94,1759,2.10,1759
73134_8,1002,34828,73134,"A10-07081","","",8.0,12.0,5.00,mw,false,427283.13,1706,81441.28,1735,,,36.41,1735,512.37,1735,1270.33,1735,551.58,1735,2.40,1735,,,0.19,1706,,,1.07,1735,439942.25,1735,,,,,2.28,1735
73134_8,1002,34828,73134,"A10-07081","","",8.0,12.0,3.00,slot,true,864397.88,1035,101501.98,1044,2.01,1044,35.45,1044,697.16,1044,1250.94,1044,597.69,1044,1.86,1044,0,1044,0.16,1035,4.04,1044,1.09,1044,673706.96,1044,1.11,209,4.89,1044,2.10,1044
