row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73154_0,2862,34869,73154,"Or2013_0425_CF_04","","",0.0,0.0,5.00,mw,true,4913.96,26,108.08,28,1.49,28,51.00,28,64.93,28,1352.66,28,618.64,28,-0.11,28,0,28,0.36,26,4.74,28,1,28,1081.96,28,1.75,4,3.25,28,2.21,28
73154_0,2862,34869,73154,"Or2013_0425_CF_04","","",0.0,0.0,5.00,mw,false,10584.02,70,189.70,84,,,44.28,84,50.20,84,2182.00,84,794.10,84,0.50,84,,,0.27,70,,,1.05,84,1052.31,84,,,,,2.75,84
73154_0,2862,34869,73154,"Or2013_0425_CF_04","","",0.0,0.0,2.40,slot,true,5338.96,20,119.53,21,1.17,21,51.69,21,65.67,21,1356.74,21,614.13,21,-0.14,21,0,21,0.34,20,4.79,21,1,21,1113.33,21,2,3,3.33,21,2.24,21
73154_0,2862,34869,73154,"Or2013_0425_CF_04","","",0.0,0.0,2.40,slot,false,6426.08,35,191.99,47,,,42.84,47,55.02,47,2316.62,47,769.67,47,0.62,47,,,0.31,35,,,1.09,47,1147.98,47,,,,,3.02,47
73154_2,2862,34869,73154,"Or2013_0425_CF_04","","",2.0,2.4,5.00,mw,true,15096.77,29,111.17,31,2.06,31,49.23,31,61.97,31,1386.44,31,632.40,31,0,31,0,31,0.36,29,4.36,31,1,31,1042.03,31,1.60,5,3.13,31,2.23,31
73154_2,2862,34869,73154,"Or2013_0425_CF_04","","",2.0,2.4,5.00,mw,false,215162.52,493,573.01,539,,,NaN,539,33.85,539,1632.69,539,763.17,539,0.49,539,,,0.30,493,,,1.03,539,1428.45,539,,,,,2.13,539
73154_2,2862,34869,73154,"Or2013_0425_CF_04","","",2.0,2.4,2.40,slot,true,36780.80,9,93.62,10,3.94,10,44.05,10,54.20,10,1448.81,10,670.76,10,0.30,10,0,10,0.42,9,3.46,10,1,10,892.30,10,1,2,2.70,10,2.20,10
73154_2,2862,34869,73154,"Or2013_0425_CF_04","","",2.0,2.4,2.40,slot,false,320806.80,231,767.32,238,,,39.93,238,36.97,238,1519.66,238,723.95,238,0.60,238,,,0.26,231,,,1.02,238,1845.27,238,,,,,2.08,238
73154_4,2862,34869,73154,"Or2013_0425_CF_04","","",4.0,4.8,5.00,mw,true,78349.12,5,222.97,5,4.42,5,40.52,5,59.40,5,1480.47,5,686.58,5,1,5,0,5,0.45,5,0.58,5,1,5,1625.20,5,1,3,3.60,5,2.20,5
73154_4,2862,34869,73154,"Or2013_0425_CF_04","","",4.0,4.8,5.00,mw,false,162535.64,850,440.41,938,,,NaN,938,27.97,938,1543.48,938,756.27,938,0.41,938,,,0.35,850,,,1.03,938,1106.66,938,,,,,2.03,938
73154_4,2862,34869,73154,"Or2013_0425_CF_04","","",4.0,4.8,2.40,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73154_4,2862,34869,73154,"Or2013_0425_CF_04","","",4.0,4.8,2.40,slot,false,118067.48,417,379.76,459,,,NaN,459,26.54,459,1575.97,459,772.00,459,0.37,459,,,0.37,417,,,1.04,459,972.80,459,,,,,2.03,459
73154_6,2862,34869,73154,"Or2013_0425_CF_04","","",6.0,7.2,5.00,mw,true,2932174.03,77,29948.66,79,1.57,79,16.54,79,319.97,79,1330.39,79,614.31,79,0.57,79,0,79,0.14,77,4.04,79,1,79,168310.72,79,1.11,46,3.92,79,2.19,79
73154_6,2862,34869,73154,"Or2013_0425_CF_04","","",6.0,7.2,5.00,mw,false,271415.76,848,3235.41,948,,,NaN,948,46.46,948,1574.76,948,741.94,948,0.36,948,,,0.36,848,,,1.04,948,9024.56,948,,,,,2.13,948
