row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73378_0,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",0.0,0.0,5.00,mw,true,44344.96,26,2841.53,29,1.66,29,67.71,29,122.86,29,1329.35,29,624.05,29,0.28,29,0,29,0.15,26,0.31,29,1,29,8019.38,29,1.67,3,4.07,29,2.17,29
73378_0,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",0.0,0.0,5.00,mw,false,8326.98,53,209.88,60,,,NaN,60,73.58,60,1752.53,60,652.36,60,0.60,60,,,0.23,53,,,1,60,1322.23,60,,,,,2.60,60
73378_0,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",0.0,0.0,2.40,slot,true,4143.01,10,156.92,10,0.90,10,83.54,10,70.30,10,1288.24,10,602.00,10,0.60,10,0,10,0.23,10,-2.49,10,1,10,1068.20,10,2,2,4.10,10,2.20,10
73378_0,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",0.0,0.0,2.40,slot,false,5350.48,19,164.78,22,,,64.90,22,61.27,22,1597.99,22,623.45,22,0.86,22,,,0.21,19,,,1,22,978.41,22,,,,,2.50,22
73378_2,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",2.0,2.4,5.00,mw,true,45005.50,31,2407.68,36,1.34,36,58.20,36,133.39,36,1371.54,36,638.07,36,0.28,36,0,36,0.15,31,0.41,36,1,36,7428.31,36,1.40,5,4.36,36,2.19,36
73378_2,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",2.0,2.4,5.00,mw,false,9134.66,76,310.48,86,,,NaN,86,71.16,86,1840.14,86,716.47,86,0.83,86,,,0.23,76,,,1.05,86,1504.87,86,,,,,2.51,86
73378_2,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",2.0,2.4,2.40,slot,true,64463.83,21,3273.36,26,1.51,26,48.46,26,157.65,26,1403.57,26,651.93,26,0.15,26,0,26,0.10,21,1.52,26,1,26,9874.50,26,1,3,4.46,26,2.19,26
73378_2,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",2.0,2.4,2.40,slot,false,10972.97,49,350.68,55,,,NaN,55,80.53,55,1776.35,55,668.58,55,0.45,55,,,0.23,49,,,1.05,55,1754.84,55,,,,,2.56,55
73378_4,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",4.0,4.8,5.00,mw,true,79126.47,17,3854.95,22,0.95,22,45.70,22,176,22,1397.19,22,651.82,22,0.23,22,0,22,0.09,17,1.01,22,1,22,11536.86,22,1,2,4.77,22,2.18,22
73378_4,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",4.0,4.8,5.00,mw,false,10320.98,62,365.77,72,,,NaN,72,65.63,72,2327.96,72,961.68,72,1.49,72,,,0.25,62,,,1.07,72,1621.18,72,,,,,2.35,72
73378_4,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",4.0,4.8,2.40,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73378_4,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",4.0,4.8,2.40,slot,false,8868.97,14,323.01,17,,,NaN,17,40.59,17,2345.81,17,1081.00,17,2.41,17,,,0.31,14,,,1.06,17,1077.24,17,,,,,2.12,17
73378_6,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",6.0,7.2,5.00,mw,true,5613084.77,187,75152.55,187,0.68,187,41.12,187,441.36,187,1560.48,187,647.90,187,0.75,187,0,187,0.15,187,-0.00,187,1.04,187,315797.19,187,1.16,88,4.53,187,2.48,187
73378_6,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",6.0,7.2,5.00,mw,false,2113664.80,300,23179.01,313,,,NaN,313,243.68,313,1908.43,313,652.73,313,1.16,313,,,0.18,300,,,1.04,313,83041.91,313,,,,,2.98,313
73378_6,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",6.0,7.2,2.40,slot,true,12946.03,8,276.77,8,2.85,8,44.30,8,130.25,8,1428.68,8,518.50,8,0,8,0,8,0.18,8,0.55,8,1,8,2692.63,8,1.50,4,4,8,2.75,8
73378_6,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",6.0,7.2,2.40,slot,false,82806.45,68,816.47,76,,,50.22,76,93.59,76,2107.25,76,794.85,76,1.14,76,,,0.24,68,,,1.13,76,3102.83,76,,,,,2.68,76
73378_8,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",8.0,9.6,5.00,mw,true,4788260.12,411,48502.61,431,1.00,431,41.60,431,427.68,431,1511.86,431,649.91,431,0.94,431,0,431,0.21,411,-0.10,431,1.05,431,233189.53,431,1.19,161,4.50,431,2.36,431
73378_8,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",8.0,9.6,5.00,mw,false,2387112.72,654,34239.50,713,,,33.97,713,280.85,713,1861.31,713,632.43,713,1.15,713,,,0.22,654,,,1.06,713,128600.80,713,,,,,2.95,713
73378_8,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",8.0,9.6,2.40,slot,true,5909484.53,283,58591.73,293,0.76,293,42.26,293,433.44,293,1510.49,293,652.15,293,0.87,293,0,293,0.18,283,-0.11,293,1.04,293,263745.62,293,1.14,114,4.53,293,2.36,293
73378_8,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",8.0,9.6,2.40,slot,false,2920197.57,417,36265.60,447,,,32.82,447,313.02,447,1815.72,447,612.64,447,1.21,447,,,0.20,417,,,1.04,447,139531.94,447,,,,,2.98,447
73378_10,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",10.0,12.0,5.00,mw,true,3959922.47,447,34328.15,500,1.13,500,38.06,500,406.69,500,1427.62,500,627.08,500,1.20,500,0,500,0.29,447,-0.12,500,1.07,500,199072.12,500,1.24,161,4.37,500,2.29,500
73378_10,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",10.0,12.0,5.00,mw,false,1524341.87,728,23420.20,813,,,33.15,813,280.01,813,2048.75,813,671.22,813,1.12,813,,,0.28,728,,,1.07,813,93585.83,813,,,,,2.99,813
73378_10,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",10.0,12.0,2.40,slot,true,3012310.72,202,40730.73,226,1.20,226,37.01,226,405.93,226,1444.38,226,629.08,226,1.46,226,0,226,0.30,202,-0.17,226,1.06,226,240391.59,226,1.29,78,4.44,226,2.31,226
73378_10,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",10.0,12.0,2.40,slot,false,1145911.14,350,22739.05,389,,,33.42,389,248.27,389,2155.07,389,694.71,389,1.02,389,,,0.30,350,,,1.05,389,83262.41,389,,,,,3.02,389
73378_12,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",12.0,14.4,5.00,mw,true,2780792.30,354,40156.86,409,1.12,409,36.77,409,405.67,409,1465.96,409,633.90,409,1.17,409,0,409,0.31,354,-0.14,409,1.08,409,197930.60,409,1.28,139,4.08,409,2.32,409
73378_12,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",12.0,14.4,5.00,mw,false,578853.35,716,7812.44,773,,,32.76,773,253.95,773,2234.12,773,709.93,773,1.04,773,,,0.31,716,,,1.09,773,32520.99,773,,,,,3.05,773
73378_12,2862,34987,73378,"Or2013_0502_CF_06","LCMS pre-repair of nano acquity","",12.0,14.4,2.40,slot,true,2302073.76,180,34235.91,207,1.07,207,34.74,207,414.89,207,1492.78,207,630.23,207,1,207,0,207,0.32,180,-0.10,207,1.12,207,160722.20,207,1.33,66,4.03,207,2.36,207
