row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
69640_0,2862,33206,69640,"RR2012105_D1_elute_01","Velos Orbitrap","",0.0,0.0,5.00,mw,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69640_0,2862,33206,69640,"RR2012105_D1_elute_01","Velos Orbitrap","",0.0,0.0,5.00,mw,false,4740.10,34,454.10,65,,,81.26,65,98.37,65,2419.42,65,1045.08,65,1.40,65,,,0.19,34,,,1.03,65,3916.72,65,,,,,2.32,65
69640_0,2862,33206,69640,"RR2012105_D1_elute_01","Velos Orbitrap","",0.0,0.0,2.60,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69640_0,2862,33206,69640,"RR2012105_D1_elute_01","Velos Orbitrap","",0.0,0.0,2.60,slot,false,5492.91,27,555.50,50,,,79.47,50,113.92,50,2298.37,50,1009.48,50,1.82,50,,,0.15,27,,,1.04,50,4862.68,50,,,,,2.28,50
69640_2,2862,33206,69640,"RR2012105_D1_elute_01","Velos Orbitrap","",2.0,2.6,5.00,mw,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69640_2,2862,33206,69640,"RR2012105_D1_elute_01","Velos Orbitrap","",2.0,2.6,5.00,mw,false,5202.61,56,386.22,112,,,NaN,112,83.93,112,2616.99,112,1131.38,112,1.04,112,,,0.24,56,,,1.02,112,2882.87,112,,,,,2.32,112
69640_2,2862,33206,69640,"RR2012105_D1_elute_01","Velos Orbitrap","",2.0,2.6,2.60,slot,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69640_2,2862,33206,69640,"RR2012105_D1_elute_01","Velos Orbitrap","",2.0,2.6,2.60,slot,false,4354.08,24,264.33,48,,,77.10,48,62.17,48,2788.64,48,1193.10,48,0.65,48,,,0.32,24,,,1,48,1342.81,48,,,,,2.38,48
69640_4,2862,33206,69640,"RR2012105_D1_elute_01","Velos Orbitrap","",4.0,5.2,5.00,mw,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69640_4,2862,33206,69640,"RR2012105_D1_elute_01","Velos Orbitrap","",4.0,5.2,5.00,mw,false,7043.97,47,242.43,91,,,NaN,91,78.98,91,2712.90,91,1206.14,91,0.20,91,,,0.34,47,,,1.01,91,1671.76,91,,,,,2.24,91
