row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73175_0,2862,34869,73175,"Or2013_0425_CF_05","","",0.0,0.0,5.00,mw,true,8021.28,56,168.73,58,3.54,58,30.22,58,92.74,58,1316.30,58,614.70,58,0.10,58,0,58,0.33,56,4.79,58,1,58,1697.03,58,1.43,7,3.29,58,2.16,58
73175_0,2862,34869,73175,"Or2013_0425_CF_05","","",0.0,0.0,5.00,mw,false,20851.94,141,190.54,162,,,36.10,162,64.28,162,1934.79,162,735.12,162,0.28,162,,,0.28,141,,,1.01,162,1228.73,162,,,,,2.64,162
73175_0,2862,34869,73175,"Or2013_0425_CF_05","","",0.0,0.0,2.40,slot,true,10342.40,34,202.94,34,2.91,34,32.57,34,100.65,34,1302.04,34,608.95,34,0.15,34,0,34,0.31,34,4.77,34,1,34,1975.38,34,1.43,7,3.38,34,2.18,34
73175_0,2862,34869,73175,"Or2013_0425_CF_05","","",0.0,0.0,2.40,slot,false,6249.37,59,217.40,77,,,38.60,77,76,77,2188.30,77,757.42,77,0.40,77,,,0.32,59,,,1,77,1429.27,77,,,,,2.91,77
73175_2,2862,34869,73175,"Or2013_0425_CF_05","","",2.0,2.4,5.00,mw,true,8021.28,56,177.44,60,3.81,60,32.54,60,90.28,60,1315.04,60,615.55,60,0.13,60,0,60,0.33,56,4.64,60,1,60,1663.40,60,1.43,7,3.25,60,2.15,60
73175_2,2862,34869,73175,"Or2013_0425_CF_05","","",2.0,2.4,5.00,mw,false,242463.14,399,388.32,504,,,NaN,504,39.43,504,1680.10,504,743.19,504,0.44,504,,,0.28,399,,,1.02,504,1054.86,504,,,,,2.24,504
73175_2,2862,34869,73175,"Or2013_0425_CF_05","","",2.0,2.4,2.40,slot,true,4434.10,22,120.26,24,4.44,24,26.89,24,81.54,24,1336.52,24,622.85,24,0.04,24,0,24,0.38,22,4.82,24,1,24,1302.71,24,,,3.17,24,2.13,24
73175_2,2862,34869,73175,"Or2013_0425_CF_05","","",2.0,2.4,2.40,slot,false,328141.15,244,469.04,280,,,40.75,280,39.66,280,1595.97,280,738.61,280,0.56,280,,,0.25,244,,,1.02,280,1138.37,280,,,,,2.15,280
73175_4,2862,34869,73175,"Or2013_0425_CF_05","","",4.0,4.8,5.00,mw,true,,,430.10,2,11.69,2,100,2,19,2,1278.43,2,640.22,2,1,2,0,2,,,0.30,2,1,2,688,2,,,2,2,2,2
73175_4,2862,34869,73175,"Or2013_0425_CF_05","","",4.0,4.8,5.00,mw,false,184275.90,647,343.38,764,,,NaN,764,24.19,764,1586.66,764,762.10,764,0.37,764,,,0.33,647,,,1.04,764,756.14,764,,,,,2.06,764
73175_4,2862,34869,73175,"Or2013_0425_CF_05","","",4.0,4.8,2.40,slot,true,,,430.10,2,11.69,2,100,2,19,2,1278.43,2,640.22,2,1,2,0,2,,,0.30,2,1,2,688,2,,,2,2,2,2
73175_4,2862,34869,73175,"Or2013_0425_CF_05","","",4.0,4.8,2.40,slot,false,106005.38,260,271.85,320,,,NaN,320,19.99,320,1582.45,320,756.87,320,0.26,320,,,0.36,260,,,1.04,320,618.93,320,,,,,2.06,320
73175_6,2862,34869,73175,"Or2013_0425_CF_05","","",6.0,7.2,5.00,mw,true,2778557.87,50,57685.62,52,1.84,52,33.09,52,361.04,52,1597.52,52,615.77,52,1,52,0,52,0.15,50,2.55,52,1.13,52,332155.40,52,1.38,32,3.87,52,2.63,52
73175_6,2862,34869,73175,"Or2013_0425_CF_05","","",6.0,7.2,5.00,mw,false,329388.50,721,5071.65,801,,,NaN,801,53.82,801,1677.07,801,753.53,801,0.37,801,,,0.33,721,,,1.03,801,13889.53,801,,,,,2.23,801
73175_6,2862,34869,73175,"Or2013_0425_CF_05","","",6.0,7.2,2.40,slot,true,23064.73,2,427.34,2,2.45,2,100,2,74,2,815.37,2,408.69,2,-1,2,0,2,0.47,2,0.80,2,2,2,3438,2,,,4,2,2,2
73175_6,2862,34869,73175,"Or2013_0425_CF_05","","",6.0,7.2,2.40,slot,false,62745.32,338,207.18,375,,,NaN,375,18.79,375,1608.22,375,774.20,375,0.27,375,,,0.38,338,,,1.05,375,486.31,375,,,,,2.06,375
73175_8,2862,34869,73175,"Or2013_0425_CF_05","","",8.0,9.6,5.00,mw,true,18086745.28,325,164753.05,356,0.69,356,31.65,356,401.78,356,1574.96,356,671.18,356,0.71,356,0,356,0.20,325,3.20,356,1.06,356,977392.59,356,1.35,192,4.72,356,2.38,356
73175_8,2862,34869,73175,"Or2013_0425_CF_05","","",8.0,9.6,5.00,mw,false,3556757.93,796,75812.62,881,,,NaN,881,177.20,881,2099.63,881,750.80,881,0.71,881,,,0.26,796,,,1.04,881,321143.33,881,,,,,2.81,881
73175_8,2862,34869,73175,"Or2013_0425_CF_05","","",8.0,9.6,2.40,slot,true,19562524.70,189,194747.89,193,0.93,193,32.03,193,424.28,193,1632.05,193,669.27,193,0.81,193,0,193,0.15,189,2.63,193,1.07,193,1230042.71,193,1.31,124,4.52,193,2.51,193
73175_8,2862,34869,73175,"Or2013_0425_CF_05","","",8.0,9.6,2.40,slot,false,4726768.50,413,110929.43,454,,,NaN,454,188.84,454,2062.72,454,725.13,454,0.67,454,,,0.21,413,,,1.01,454,463199.35,454,,,,,2.89,454
73175_10,2862,34869,73175,"Or2013_0425_CF_05","","",10.0,12.0,5.00,mw,true,17778794.34,451,172973.17,499,0.83,499,32.00,499,372.95,499,1487.77,499,649.39,499,0.79,499,0,499,0.22,451,3.53,499,1.06,499,926729.73,499,1.31,213,4.70,499,2.31,499
73175_10,2862,34869,73175,"Or2013_0425_CF_05","","",10.0,12.0,5.00,mw,false,4308384.04,970,72150.99,1067,,,28.74,1067,265.33,1067,3228.55,1067,778.33,1067,1.17,1067,,,0.27,970,,,1.09,1067,331913.61,1067,,,,,4.01,1067
73175_10,2862,34869,73175,"Or2013_0425_CF_05","","",10.0,12.0,2.40,slot,true,14190812.24,236,102481.59,272,0.81,272,29.17,272,353.65,272,1410.38,272,638.78,272,0.67,272,0,272,0.24,236,3.95,272,1.03,272,542571.69,272,1.34,92,4.77,272,2.20,272
73175_10,2862,34869,73175,"Or2013_0425_CF_05","","",10.0,12.0,2.40,slot,false,3032847.21,451,50792.34,496,,,28.92,496,273.55,496,3136.57,496,781.44,496,1.23,496,,,0.29,451,,,1.12,496,245969.92,496,,,,,3.91,496
73175_12,2862,34869,73175,"Or2013_0425_CF_05","","",12.0,14.4,5.00,mw,true,10394397.42,343,142922.28,393,1.19,393,34.42,393,339.22,393,1395.98,393,632.39,393,0.74,393,0,393,0.29,343,4.25,393,1.10,393,721022.57,393,1.16,88,4.47,393,2.22,393
73175_12,2862,34869,73175,"Or2013_0425_CF_05","","",12.0,14.4,5.00,mw,false,2480338.66,949,19696.38,1071,,,32.63,1071,258.31,1071,3772.89,1071,808.86,1071,1.45,1071,,,0.32,949,,,1.12,1071,115730.96,1071,,,,,4.48,1071
73175_12,2862,34869,73175,"Or2013_0425_CF_05","","",12.0,14.4,2.40,slot,true,13624913.87,134,258114.14,152,1.23,152,38.64,152,339.17,152,1452.08,152,635.67,152,0.78,152,0,152,0.32,134,4.27,152,1.15,152,1202008.35,152,1.30,37,4.51,152,2.30,152
73175_12,2862,34869,73175,"Or2013_0425_CF_05","","",12.0,14.4,2.40,slot,false,2997255.34,464,19089.20,537,,,32.07,537,270.37,537,4063.59,537,818.17,537,1.37,537,,,0.34,464,,,1.11,537,103110.29,537,,,,,4.74,537
73175_14,2862,34869,73175,"Or2013_0425_CF_05","","",14.0,16.8,5.00,mw,true,7314506.32,353,118840.15,401,0.91,401,35.83,401,349.15,401,1510.07,401,673.02,401,0.88,401,0,401,0.30,353,4.39,401,1.11,401,565951.81,401,1.13,110,4.47,401,2.26,401
73175_14,2862,34869,73175,"Or2013_0425_CF_05","","",14.0,16.8,5.00,mw,false,1755344.03,918,15897.24,1039,,,34.04,1039,230.79,1039,3939.79,1039,827.87,1039,1.66,1039,,,0.33,918,,,1.12,1039,113098.36,1039,,,,,4.67,1039
73175_14,2862,34869,73175,"Or2013_0425_CF_05","","",14.0,16.8,2.40,slot,true,7049524.07,153,71302.82,180,0.87,180,38.35,180,332.41,180,1438.30,180,659.13,180,0.65,180,0,180,0.29,153,4.37,180,1.14,180,465040.03,180,1,37,4.29,180,2.18,180
73175_14,2862,34869,73175,"Or2013_0425_CF_05","","",14.0,16.8,2.40,slot,false,1777415.09,456,12980.85,495,,,33.78,495,211.51,495,3897.13,495,832.48,495,1.79,495,,,0.31,456,,,1.12,495,95655.54,495,,,,,4.61,495
73175_16,2862,34869,73175,"Or2013_0425_CF_05","","",16.0,19.2,5.00,mw,true,8000885.37,345,120447.60,402,0.64,402,36.98,402,329.06,402,1515.81,402,673.66,402,0.96,402,0,402,0.29,345,4.24,402,1.08,402,512160.15,402,1.16,109,4.50,402,2.27,402
