row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
71686_0,2862,34278,71686,"Or2013_0304_B_CF_06","5 uL inject; Std Prep","1.0",0.0,0.0,5.00,mw,true,6704.28,28,92.63,29,2.56,29,NaN,29,59.69,29,1331.55,29,634.04,29,0.17,29,0,29,0.22,28,-1.83,29,1,29,668.24,29,1,2,3.62,29,2.10,29
71686_0,2862,34278,71686,"Or2013_0304_B_CF_06","5 uL inject; Std Prep","1.0",0.0,0.0,5.00,mw,false,6159.54,101,117.84,120,,,NaN,120,52.28,120,1954.40,120,755.61,120,1.11,120,,,0.29,101,,,1.03,120,655.21,120,,,,,2.57,120
71686_0,2862,34278,71686,"Or2013_0304_B_CF_06","5 uL inject; Std Prep","1.0",0.0,0.0,2.20,slot,true,7758.15,22,108.09,22,1.97,22,38.29,22,66.77,22,1318.97,22,617.34,22,0.36,22,0,22,0.18,22,-1.28,22,1,22,775.82,22,1,2,3.82,22,2.14,22
71686_0,2862,34278,71686,"Or2013_0304_B_CF_06","5 uL inject; Std Prep","1.0",0.0,0.0,2.20,slot,false,7122.80,50,148.97,62,,,NaN,62,57.34,62,1858.68,62,697.38,62,0.61,62,,,0.24,50,,,1,62,788.27,62,,,,,2.63,62
71686_2,2862,34278,71686,"Or2013_0304_B_CF_06","5 uL inject; Std Prep","1.0",2.0,2.2,5.00,mw,true,25002.52,73,383.30,78,1.58,78,NaN,78,128.62,78,1297.50,78,605.36,78,0.31,78,0,78,0.17,73,-1.43,78,1.03,78,2655.18,78,1,8,4.03,78,2.14,78
71686_2,2862,34278,71686,"Or2013_0304_B_CF_06","5 uL inject; Std Prep","1.0",2.0,2.2,5.00,mw,false,8984.60,180,165.38,205,,,NaN,205,68.95,205,1779.62,205,698.60,205,0.94,205,,,0.23,180,,,1.02,205,954.93,205,,,,,2.54,205
71686_2,2862,34278,71686,"Or2013_0304_B_CF_06","5 uL inject; Std Prep","1.0",2.0,2.2,2.20,slot,true,32441.27,51,491.42,56,1.43,56,NaN,56,152.91,56,1289.06,56,600.66,56,0.29,56,0,56,0.17,51,-1.48,56,1.04,56,3393.50,56,1,6,4.11,56,2.14,56
71686_2,2862,34278,71686,"Or2013_0304_B_CF_06","5 uL inject; Std Prep","1.0",2.0,2.2,2.20,slot,false,10000.05,125,178.69,137,,,41.59,137,75.74,137,1741.62,137,695.39,137,1.07,137,,,0.22,125,,,1.04,137,1062.12,137,,,,,2.51,137
71686_4,2862,34278,71686,"Or2013_0304_B_CF_06","5 uL inject; Std Prep","1.0",4.0,4.4,5.00,mw,true,31707.25,53,480.39,58,1.44,58,41.95,58,150.91,58,1242.75,58,579.05,58,0.28,58,0,58,0.18,53,-1.42,58,1.03,58,3317.86,58,1,6,4,58,2.14,58
71686_4,2862,34278,71686,"Or2013_0304_B_CF_06","5 uL inject; Std Prep","1.0",4.0,4.4,5.00,mw,false,8610.98,144,149.65,169,,,NaN,169,68.66,169,1812.92,169,746.22,169,1.09,169,,,0.25,144,,,1.02,169,909.19,169,,,,,2.43,169
