row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
71687_62,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",62.0,68.2,2.20,slot,true,2389111.47,91,8085.25,108,1.69,108,35.98,108,507.90,108,1998.39,108,829.13,108,2.24,108,0,108,0.33,91,-2.16,108,1.18,108,78087.31,108,1,16,4.82,108,2.43,108
71687_62,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",62.0,68.2,2.20,slot,false,317227.43,301,675.99,336,,,27.42,336,281.04,336,2293.63,336,786.93,336,1.54,336,,,0.34,301,,,1.09,336,6650.15,336,,,,,2.91,336
71687_64,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",64.0,70.4,5.00,mw,true,1302453.98,192,6600.39,232,1.36,232,33.01,232,493.11,232,2074.59,232,840.01,232,2.17,232,0,232,0.31,192,-1.15,232,1.10,232,47380.94,232,1.05,38,4.59,232,2.48,232
71687_64,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",64.0,70.4,5.00,mw,false,336253.47,698,845.39,801,,,27.23,801,279.56,801,2652.72,801,828.87,801,1.93,801,,,0.33,698,,,1.06,801,8706.46,801,,,,,3.18,801
71687_64,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",64.0,70.4,2.20,slot,true,1230496.30,84,3492.95,105,1.62,105,35.41,105,497.59,105,2142.66,105,856.03,105,1.92,105,0,105,0.32,84,-0.65,105,1.09,105,29776.99,105,1,15,4.52,105,2.51,105
71687_64,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",64.0,70.4,2.20,slot,false,285626.95,312,1064.36,354,,,28.92,354,293.35,354,2740.96,354,833.21,354,2.01,354,,,0.34,312,,,1.07,354,11655.63,354,,,,,3.26,354
71687_66,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",66.0,72.6,5.00,mw,true,727447.70,193,6371.46,224,0.99,224,27.96,224,512.87,224,2155.84,224,830.80,224,2.25,224,0,224,0.31,193,-0.95,224,1.13,224,36263.67,224,1.05,39,4.71,224,2.62,224
71687_66,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",66.0,72.6,5.00,mw,false,291528.57,692,646.97,809,,,26.62,809,257.34,809,2688.26,809,834.77,809,1.97,809,,,0.33,692,,,1.04,809,6690.78,809,,,,,3.18,809
71687_66,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",66.0,72.6,2.20,slot,true,848928.38,83,11280.68,96,0.88,96,26.18,96,465.45,96,2107.99,96,823.09,96,2.10,96,0,96,0.30,83,-0.54,96,1.04,96,50297.75,96,1.11,19,4.67,96,2.57,96
71687_66,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",66.0,72.6,2.20,slot,false,333810.21,316,518.54,368,,,23.87,368,237.75,368,2767.72,368,852.44,368,1.92,368,,,0.33,316,,,1.03,368,5175.34,368,,,,,3.21,368
71687_68,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",68.0,74.8,5.00,mw,true,1370886.03,194,9617.83,217,0.77,217,37.62,217,452.33,217,2251.06,217,860.95,217,2.11,217,0,217,0.30,194,-1.43,217,1.11,217,67055.91,217,1.08,24,4.75,217,2.64,217
71687_68,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",68.0,74.8,5.00,mw,false,294350.45,679,784.05,806,,,26.07,806,240.65,806,2762.74,806,846.62,806,1.89,806,,,0.34,679,,,1.05,806,8000.80,806,,,,,3.24,806
71687_68,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",68.0,74.8,2.20,slot,true,1617740.79,90,6445.28,98,0.58,98,35.02,98,518.69,98,2318.67,98,861.31,98,2.35,98,0,98,0.29,90,-2.00,98,1.20,98,60096.93,98,1.17,12,4.89,98,2.72,98
71687_68,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",68.0,74.8,2.20,slot,false,354098.27,286,1124.86,339,,,27.60,339,264.86,339,2579.17,339,816.69,339,1.98,339,,,0.33,286,,,1.07,339,10027.04,339,,,,,3.15,339
