row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
71687_92,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",92.0,101.2,5.00,mw,false,128279.78,764,892.93,861,,,21.03,861,228.50,861,3810.26,861,923.54,861,1.78,861,,,0.35,764,,,1.07,861,6927.26,861,,,,,4.13,861
71687_92,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",92.0,101.2,2.20,slot,true,839394.08,39,4214.27,48,0.73,48,33.37,48,359.02,48,2529.90,48,887.93,48,1.46,48,0,48,0.32,39,-1.33,48,1.06,48,41599.92,48,1,12,4.56,48,2.88,48
71687_92,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",92.0,101.2,2.20,slot,false,165503.90,320,1445.89,366,,,23.72,366,260.93,366,3619.70,366,912.56,366,2.01,366,,,0.35,320,,,1.08,366,9395.82,366,,,,,3.99,366
71687_94,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",94.0,103.4,5.00,mw,true,381389.43,86,2534.74,108,1.16,108,29.25,108,323.73,108,2642.58,108,910.41,108,1.44,108,0,108,0.34,86,-1.77,108,1.07,108,22067.61,108,1,24,4.69,108,2.95,108
71687_94,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",94.0,103.4,5.00,mw,false,88931.79,733,874.70,843,,,22.13,843,214.70,843,3964.32,843,948.03,843,1.89,843,,,0.35,733,,,1.09,843,6215.70,843,,,,,4.19,843
71687_94,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",94.0,103.4,2.20,slot,true,221573.66,39,2015.46,52,1.20,52,20.94,52,347.83,52,2801.57,52,953.51,52,1.54,52,0,52,0.36,39,-2.25,52,1.08,52,16353.44,52,1,11,4.63,52,3,52
71687_94,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",94.0,103.4,2.20,slot,false,64170.50,333,397.13,380,,,18.45,380,183.24,380,4226.49,380,969.58,380,1.71,380,,,0.34,333,,,1.05,380,4218.28,380,,,,,4.34,380
71687_96,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",96.0,105.6,5.00,mw,true,264031.80,82,2121.82,99,1.19,99,33.72,99,285.48,99,2585.94,99,873.85,99,1.51,99,0,99,0.39,82,-1.61,99,1.05,99,15273.46,99,1.07,30,4.68,99,3,99
71687_96,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",96.0,105.6,5.00,mw,false,60473.05,743,446.93,844,,,23.72,844,192.67,844,3961.62,844,931.11,844,2.06,844,,,0.36,743,,,1.09,844,3977.32,844,,,,,4.25,844
71687_96,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",96.0,105.6,2.20,slot,true,122866.43,29,1205.26,37,0.93,37,33.42,37,271.41,37,2590.00,37,872.72,37,1.32,37,0,37,0.38,29,-1.33,37,1.05,37,9389.35,37,1,12,4.92,37,3,37
71687_96,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",96.0,105.6,2.20,slot,false,72794.27,322,489.21,367,,,24.27,367,206.57,367,3725.03,367,921.64,367,2.23,367,,,0.36,322,,,1.13,367,4070.04,367,,,,,4.05,367
71687_98,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",98.0,107.8,5.00,mw,true,393987.07,91,2163.65,111,1.02,111,27.53,110,305.09,111,2555.95,111,840.59,111,1.59,110,0,111,0.39,91,-1.66,111,1.15,111,14036.77,111,1.06,32,4.74,111,3.06,111
71687_98,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",98.0,107.8,5.00,mw,false,77516.24,635,398.99,781,,,23.82,773,200.87,781,3615.22,781,905.61,781,2.14,773,,,0.35,635,,,1.07,781,3839.26,781,,,,,3.99,781
71687_98,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",98.0,107.8,2.20,slot,true,380893.48,47,2640.73,49,1.38,49,38.45,49,295.78,49,2526.18,49,856.14,49,1.63,49,0,49,0.40,47,-1.61,49,1.20,49,17344.08,49,1.13,16,4.61,49,3,49
71687_98,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",98.0,107.8,2.20,slot,false,61022.11,311,422.91,364,,,25.01,364,206.98,364,3741.88,364,893.54,364,2.15,364,,,0.37,311,,,1.07,364,4124.87,364,,,,,4.19,364
71687_100,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",100.0,110.0,5.00,mw,true,404064.34,53,2004.73,66,1.16,66,20.57,65,328.02,66,2552.88,66,842.57,66,1.55,65,0,66,0.39,53,-2.09,66,1.23,66,12308.83,66,1.12,17,4.74,66,3.06,66
71687_100,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",100.0,110.0,5.00,mw,false,86947.90,321,326.25,422,,,21.57,414,196.39,422,3576.95,422,898.03,422,1.92,414,,,0.34,321,,,1.04,422,3572.06,422,,,,,3.97,422
71687_100,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",100.0,110.0,2.20,slot,true,674356.75,22,2257.25,33,0.67,33,13.90,32,334.45,33,2508.02,33,799.96,33,1.56,32,0,33,0.38,22,-1.75,33,1.15,33,12277.30,33,1,6,4.85,33,3.12,33
71687_100,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",100.0,110.0,2.20,slot,false,113998.99,120,291.05,189,,,20.07,181,183.60,189,3299.73,189,907.01,189,1.80,181,,,0.30,120,,,1.02,189,3296.69,189,,,,,3.62,189
