"","id105599700","id105615807","id105616993","id105620706","id105622773","id105626195","id105626405","id105628430","id105630746","id105652140","frag.groups"
"155.082",17.5,14.7,16.12,16.38,16.9,20.22,17.93,16.46,14.41,18.7,1
"156.066",1.25,0,0,0,0,0,0,0,0,0,1
"156.691",0,0,0,0,0,0,0,0.91,0,0,2
"156.969",0,0,0,0,0,0,0,0,2.1,0,2
"157.351",0,0,0,0,0,1.07,0,0,0,0,1
"158.092",0,0,0,0,1.97,0,1.08,1.35,0,0,2
"159.112",0,0,0,0,0,0,1.22,0,0,0,1
"159.212",0,0,0,0,1.38,0,0,0,0,0,2
"161.195",0,0,0,0.74,0,0,0,0,0,0,1
"162.367",0,0,0,0.69,0,0,0,0,0,0,1
"165.818",0,0,0,0,1.31,0,0,0,0,0,2
"169.134",0,0,0,0,0,0,0,0,0,2.44,1
"171.077",0,1.4,0,0,2.46,0,1.75,1.45,0,0,2
"171.336",0,1.07,0,0,0,0,0,0,0,0,1
"173.092",76.19,75.23,76.35,76.09,66.33,0,70.92,72.06,63.08,75.41,1
"173.238",0,0,0,0,0,0,0,0,2.33,0,2
"174.096",1.36,0,2.5,2.58,1.59,3.37,1.75,2.14,0,1.67,1
"175.119",0,0,2.19,0,7.48,0,3.01,4.42,6.67,0,2
"175.285",0,0,1.36,0,0,0,0,0,0,0,1
"177.743",0.8,0,0,0,0,0,0,0,0,0,1
"181.096",3.16,2.42,3.64,2.6,5.98,3.13,3.7,4.36,5.08,2.03,2
"183.076",3.51,3.81,4.31,3.33,2.79,5.31,2.92,0,3.48,4.19,1
"184.061",1.41,0,0,0.82,0,0,0,1.3,0,0,2
"184.492",0,0,0,0,0,1.12,0,0,0,0,1
"185.164",0,0,0,0,0,0,2.32,0,0,0,1
"185.846",0,0,0,0,0,0,1.03,0,0,0,1
"186.124",0,0,0,0,3.21,0,0,1.68,0,0,2
"187.111",0.8,0,0,0,1.56,0,0,0.97,3.86,0,2
"187.666",0,0,0,0,0,0,0,0.82,0,0,2
"189.088",0,0,0,0,3.02,0,1.93,0.88,0,0,2
"189.178",0,0,0,0,0,0,0,0,0,1.21,1
"191.085",2.7,3.51,2.17,2.57,3.13,2.91,2.99,2.77,0,2.08,1
"192.435",0,0,0,0,0,0,0,0.87,1.97,0,2
"193.793",0,0,0,0,0,0,0,0,2.29,0,2
"194.813",0,0,0,0,0,1.07,0,0,0,0,1
"197.129",0,0,0,0,4.68,0,1.45,1.95,0,1.37,2
"198.088",0,0,0,0,2.81,0,0,0,0,0,2
"199.071",1.47,1.88,0,1.24,4.4,2.33,3.74,1.14,3.15,2.32,2
"201.088",62.1,59,61.14,62.71,52.37,0,60.81,57.87,50.9,62.15,1
"201.922",0,0,0,0,1.48,0,0,0,0,0,2
"202.089",1.09,0,0,0.94,4.89,2.55,1.69,2.85,0,1.56,2
"204.834",0.83,0,0,0,0,0,0,0,0,0,1
"206.162",0,0,0,0,0,0,0.97,0,0,0,1
"207.82",0,1.05,0,0,0,0,0,0,0,0,1
"213.094",0,0,0,0,0,0,1.38,1.47,3.32,0,2
"214.155",3.28,2.49,0,1.78,0,3.13,1.96,2.98,0,2.57,1
"215.139",0,1.49,0,0,0,0,0,3.09,0,0,2
"216.853",0,0,0,0,0,0,0,0,0,1.01,1
"217.082",1.79,3.7,2.05,1.41,7.38,1.58,4.37,2.73,0,2.26,2
"217.278",0,0,0,0,1.55,0,0,0,0,0,2
"218.241",0,0,0,0,1.31,0,0,0,0,0,2
"219.082",4.38,3.72,2.48,4.1,2.83,6.23,3.87,3.13,2.57,3.4,1
"220.098",0,0,0,0,2.36,0,0,1.74,0,0,2
"221.754",0,0,0,0.95,0,0,0,0,0,0,1
"222.095",0,0,0,0,0,0,0,4.9,0,0,2
"222.378",0,0,0,0,0,1.13,0,0,0,0,1
"224.14",0,1.97,0,0,1.81,1.39,1.35,1.35,0,0,2
"225.134",0,0,0,0,1.8,0,0,0,0,0,2
"225.846",0,0,0,0,0,0,0,0.8,0,0,2
"226.115",0,1.18,0,0,0,0,0,0,0,0,1
"230.114",0,0,0,0,1.94,0,0,0.89,0,0,2
"231.477",0,0,0,0.73,0,0,0,0,0,0,1
"235.147",0,0,0,0,0,0,0,1.29,0,0,2
"241.083",0,0,0,0,5.83,0,0,2.16,3.31,0,2
"241.979",0,0,0,0.79,0,0,0,0,0,0,1
"242.153",1.26,3.65,0,1.56,3.67,0,1.95,2.24,0,2.21,2
"243.135",0,0,0,0,1.36,0,0,1.34,0,0,2
"244.092",0,0,0,0,2.13,0,0,0,0,0,2
"245.077",0,2.72,0,0,4.43,0,0,0,0,0,2
"245.425",0,0,0,0,0,0,0,0,0,1.06,1
"246.181",0,0,0,0,4.39,0,0,1.51,5.12,0,2
"246.908",0.77,0,0,0,0,0,0,0,0,0,1
"247.108",1.56,4.9,0,1.59,39.87,0,0,20.04,35.91,0,2
"248.112",0,0,0,0,0,0,0,1.95,0,0,2
"248.626",0,0,0,0,0,0,0,0,0,1.2,1
"249.161",0,0,0,0,0,0,0,2.71,2.46,0,2
"254.115",0,0,0,0,0,0,0,0,2.99,0,2
"254.978",0,0,0,0,1.43,0,0,0,0,0,2
"257.73",0,0,0,0.85,0,0,0,0,0,0,1
"258.112",0,0,0,0,5.92,0,0.99,3.11,5.62,0,2
"259.097",0,0,0,0,1.65,0,0,0,0,0,2
"260.197",9.87,0,8.21,8.75,6.32,11.56,8.59,10.18,0,7.67,1
"260.981",0,0,0,0,1.32,0,0,0,0,0,2
"261.306",0,0,0,0,0,0,0,0,2.2,0,2
"261.379",0,0,0,0,0,0,0,1.01,0,0,2
"262.086",0,0,0,0,5.76,0,0,2.39,0,0,2
"265.119",1.93,5.3,0,0,35.73,0,5.71,17.36,32.46,0,2
"266.122",0,0,0,0,1.86,0,0,0,0,0,2
"267.118",2.21,0,0,1.29,0,1.56,0,21.05,2.66,1.69,2
"268.12",0,0,0,0,0,0,0,6.75,0,0,2
"270.109",3.67,3.2,3.35,4.3,2.85,7.19,3.72,2.97,0,3.85,1
"272.124",8.7,8.13,8.67,8.39,6.09,13.46,8.51,8.29,0,7.73,1
"272.712",0,1.12,0,0,0,0,0,0,0,0,1
"275.104",1.37,1.79,0,0,9.65,0,1.52,0,9,0,2
"276.135",0,0,0,0,4.99,0,0,0,0,0,2
"277.158",0,0,0,0,0,0,0,0,2.63,0,2
"280.434",0,0,0,0,0,0,1.13,0,0,0,1
"284.124",0,0,0,0,0,1.58,0,0,0,0,1
"287.239",0,0,0,0,0,0,0,0,0,1.01,1
"288.119",8.6,7.87,7.14,7.8,6.59,9.21,0,8.58,7.17,7.8,1
"288.204",0,0,0,0,3.37,0,0,0,0,0,2
"289.163",0,0,0,0,7.39,0,5.59,0,0,0,2
"290.12",0,0,0,0,0,0,0,0,2.63,0,2
"290.543",0,0,0,0,0,0,0,0,0,0.92,1
