frag.mz,frag.ai,ri_avg,f.mz,f.ri,f.ai,prd.ai,ai.devi
101.07101363041059,363.5507713969471,121.18359046564903,101.07083,100.6927709916234,1898.96,2285.3953534538514,-386.43535345385135
101.07101363041059,363.5507713969471,121.18359046564903,101.07099,139.34951361764686,20788.69,18078.62854971818,2710.061450281817
101.07101363041059,363.5507713969471,121.18359046564903,101.07119,123.50848678767682,631.82,619.9267606575992,11.893239342400875
101.07101363041059,363.5507713969471,121.18359046564903,101.07083,100.6927709916234,1898.96,2285.3953534538514,-386.43535345385135
101.07101363041059,363.5507713969471,121.18359046564903,101.07099,139.34951361764686,20788.69,18078.62854971818,2710.061450281817
101.07101363041059,363.5507713969471,121.18359046564903,101.07119,123.50848678767682,631.82,619.9267606575992,11.893239342400875
101.07101363041059,363.5507713969471,121.18359046564903,101.07083,100.6927709916234,1898.96,2285.3953534538514,-386.43535345385135
101.07101363041059,363.5507713969471,121.18359046564903,101.07099,139.34951361764686,20788.69,18078.62854971818,2710.061450281817
101.07101363041059,363.5507713969471,121.18359046564903,101.07119,123.50848678767682,631.82,619.9267606575992,11.893239342400875
102.055025866114,327.50041041661984,109.16680347220661,102.05479,88.29463029384613,451.68,558.4536865744477,-106.77368657444771
102.055025866114,327.50041041661984,109.16680347220661,102.05501,109.62168798563071,16353.78,16285.918599627112,67.86140037288897
102.055025866114,327.50041041661984,109.16680347220661,102.0552,129.58409213714302,2443.82,2058.771360446789,385.04863955321116
102.055025866114,327.50041041661984,109.16680347220661,102.05479,88.29463029384613,451.68,558.4536865744477,-106.77368657444771
102.055025866114,327.50041041661984,109.16680347220661,102.05501,109.62168798563071,16353.78,16285.918599627112,67.86140037288897
102.055025866114,327.50041041661984,109.16680347220661,102.0552,129.58409213714302,2443.82,2058.771360446789,385.04863955321116
102.055025866114,327.50041041661984,109.16680347220661,102.05479,88.29463029384613,451.68,558.4536865744477,-106.77368657444771
102.055025866114,327.50041041661984,109.16680347220661,102.05501,109.62168798563071,16353.78,16285.918599627112,67.86140037288897
102.055025866114,327.50041041661984,109.16680347220661,102.0552,129.58409213714302,2443.82,2058.771360446789,385.04863955321116
110.07194845848238,395.69941451940684,131.89980483980227,110.07172,106.09963214367629,393.81,489.57249987090034,-95.76249987090034
110.07194845848238,395.69941451940684,131.89980483980227,110.07188,173.63945990771055,888.27,674.7466256075845,213.52337439241546
110.07194845848238,395.69941451940684,131.89980483980227,110.07226,115.96032246802001,2186.89,2487.491911603343,-300.60191160334307
110.07194845848238,395.69941451940684,131.89980483980227,110.07172,106.09963214367629,393.81,489.57249987090034,-95.76249987090034
110.07194845848238,395.69941451940684,131.89980483980227,110.07188,173.63945990771055,888.27,674.7466256075845,213.52337439241546
110.07194845848238,395.69941451940684,131.89980483980227,110.07226,115.96032246802001,2186.89,2487.491911603343,-300.60191160334307
110.07194845848238,395.69941451940684,131.89980483980227,110.07172,106.09963214367629,393.81,489.57249987090034,-95.76249987090034
110.07194845848238,395.69941451940684,131.89980483980227,110.07188,173.63945990771055,888.27,674.7466256075845,213.52337439241546
110.07194845848238,395.69941451940684,131.89980483980227,110.07226,115.96032246802001,2186.89,2487.491911603343,-300.60191160334307
119.04866610744702,136.92493945323397,68.46246972661699,119.04863,54.52477279946208,1028.28,1291.1303386702098,-262.8503386702098
119.04866610744702,136.92493945323397,68.46246972661699,119.04869,82.40016665377189,12292.77,10213.491406121342,2079.2785938786583
119.04866610744702,136.92493945323397,68.46246972661699,119.04863,54.52477279946208,1028.28,1291.1303386702098,-262.8503386702098
119.04866610744702,136.92493945323397,68.46246972661699,119.04869,82.40016665377189,12292.77,10213.491406121342,2079.2785938786583
129.09557043683776,1568.8863472135133,261.48105786891887,129.06592,182.1591276123002,3435.33,4931.258369005152,-1495.9283690051525
129.09557043683776,1568.8863472135133,261.48105786891887,129.06635,114.33849673479794,584.91,1337.632467854219,-752.722467854219
129.09557043683776,1568.8863472135133,261.48105786891887,129.10216,160.57983484135474,23955.91,39008.73789788838,-15052.827897888379
129.09557043683776,1568.8863472135133,261.48105786891887,129.10239,386.4024616357684,1434.21,970.5392310872056,463.6707689127944
129.09557043683776,1568.8863472135133,261.48105786891887,129.10246,360.13371721208097,1842.3,1337.632467854219,504.667532145781
129.09557043683776,1568.8863472135133,261.48105786891887,129.1026,365.2727091772109,6888.66,4931.258369005152,1957.4016309948474
129.09557043683776,1568.8863472135133,261.48105786891887,129.06592,182.1591276123002,3435.33,4931.258369005152,-1495.9283690051525
129.09557043683776,1568.8863472135133,261.48105786891887,129.06635,114.33849673479794,584.91,1337.632467854219,-752.722467854219
129.09557043683776,1568.8863472135133,261.48105786891887,129.10216,160.57983484135474,23955.91,39008.73789788838,-15052.827897888379
129.09557043683776,1568.8863472135133,261.48105786891887,129.10239,386.4024616357684,1434.21,970.5392310872056,463.6707689127944
129.09557043683776,1568.8863472135133,261.48105786891887,129.10246,360.13371721208097,1842.3,1337.632467854219,504.667532145781
129.09557043683776,1568.8863472135133,261.48105786891887,129.1026,365.2727091772109,6888.66,4931.258369005152,1957.4016309948474
129.09557043683776,1568.8863472135133,261.48105786891887,129.06592,182.1591276123002,3435.33,4931.258369005152,-1495.9283690051525
129.09557043683776,1568.8863472135133,261.48105786891887,129.06635,114.33849673479794,584.91,1337.632467854219,-752.722467854219
129.09557043683776,1568.8863472135133,261.48105786891887,129.10216,160.57983484135474,23955.91,39008.73789788838,-15052.827897888379
129.09557043683776,1568.8863472135133,261.48105786891887,129.10239,386.4024616357684,1434.21,970.5392310872056,463.6707689127944
