row,id,name,desc,rt.pct,rt,width,slice,stat,val
69820_92,69820,RR20121025_D1_elute_19,Velos Orbitrap,92.0,147.2,5.00,mw,apex,1486479.215000001
69820_92,69820,RR20121025_D1_elute_19,Velos Orbitrap,92.0,147.2,5.00,mw,annot,59.0
69820_92,69820,RR20121025_D1_elute_19,Velos Orbitrap,92.0,147.2,3.20,slot,msms,148.0
69820_92,69820,RR20121025_D1_elute_19,Velos Orbitrap,92.0,147.2,3.20,slot,apex,824938.8574000001
69820_92,69820,RR20121025_D1_elute_19,Velos Orbitrap,92.0,147.2,3.20,slot,annot,36.0
69820_94,69820,RR20121025_D1_elute_19,Velos Orbitrap,94.0,150.4,5.00,mw,msms,329.0
69820_94,69820,RR20121025_D1_elute_19,Velos Orbitrap,94.0,150.4,5.00,mw,apex,1547511.6842000016
69820_94,69820,RR20121025_D1_elute_19,Velos Orbitrap,94.0,150.4,5.00,mw,annot,87.0
69820_94,69820,RR20121025_D1_elute_19,Velos Orbitrap,94.0,150.4,3.20,slot,msms,236.0
69820_94,69820,RR20121025_D1_elute_19,Velos Orbitrap,94.0,150.4,3.20,slot,apex,849119.0952999997
69820_94,69820,RR20121025_D1_elute_19,Velos Orbitrap,94.0,150.4,3.20,slot,annot,55.0
69820_96,69820,RR20121025_D1_elute_19,Velos Orbitrap,96.0,153.6,5.00,mw,msms,139.0
69820_96,69820,RR20121025_D1_elute_19,Velos Orbitrap,96.0,153.6,5.00,mw,apex,274446.5564
69820_96,69820,RR20121025_D1_elute_19,Velos Orbitrap,96.0,153.6,5.00,mw,annot,58.0
69820_96,69820,RR20121025_D1_elute_19,Velos Orbitrap,96.0,153.6,3.20,slot,msms,84.0
69820_96,69820,RR20121025_D1_elute_19,Velos Orbitrap,96.0,153.6,3.20,slot,apex,144945.03180000003
69820_96,69820,RR20121025_D1_elute_19,Velos Orbitrap,96.0,153.6,3.20,slot,annot,39.0
69820_98,69820,RR20121025_D1_elute_19,Velos Orbitrap,98.0,156.8,5.00,mw,msms,180.0
69820_98,69820,RR20121025_D1_elute_19,Velos Orbitrap,98.0,156.8,5.00,mw,apex,748366.4229
69820_98,69820,RR20121025_D1_elute_19,Velos Orbitrap,98.0,156.8,5.00,mw,annot,80.0
69820_98,69820,RR20121025_D1_elute_19,Velos Orbitrap,98.0,156.8,3.20,slot,msms,125.0
69820_98,69820,RR20121025_D1_elute_19,Velos Orbitrap,98.0,156.8,3.20,slot,apex,656541.8859
69820_98,69820,RR20121025_D1_elute_19,Velos Orbitrap,98.0,156.8,3.20,slot,annot,58.0
