"","V1","V2","V3","V4"
"1",85.455,0,615.500151537178,69.2361791294888
"2",85.56,0,0,117.227210499205
"3",85.898,0,0,117.227210499205
"4",86.097,0,0,110.537564012449
"5",86.391,0,0,114.209405317246
"6",87.084,0,0,113.718555755321
"7",87.275,0,560.285429605941,72.1427182764757
"8",87.976,0,2640.25122146355,0
"9",88.04,0,1136.9826823933,34.4839072880658
"10",88.45,0,560.285429605941,72.1427182764757
"11",88.52,0,0,112.030984488177
"12",88.624,0,1136.9826823933,34.4839072880658
"13",89.301,0,0,117.227210499205
"14",92.248,0,0,117.227210499205
"15",92.368,5699.05030775576,0,0
"16",92.536,0,0,112.030984488177
"17",94.041,0,560.285429605941,72.1427182764757
"18",95.586,5699.05030775576,0,0
"19",97.667,5699.05030775576,0,0
"20",98.097,5699.05030775576,0,0
"21",99.056,0,2640.25122146355,0
"22",99.133,0,0,117.227210499205
"23",99.507,0,0,114.209405317246
"24",100.325,0,0,112.030984488177
"25",101.071,0,0,112.084709916984
"26",101.422,0,0,114.209405317246
"27",102.055,0,0,115.999501887317
"28",102.934,5699.05030775576,0,0
"29",104.053,0,0,115.573192431267
"30",105.368,0,0,117.227210499205
"31",105.91,0,560.285429605941,72.1427182764757
"32",106.459,0,0,117.227210499205
"33",106.711,0,0,117.227210499205
"34",107.049,5699.05030775576,0,0
"35",107.292,0,0,117.227210499205
"36",107.41,0,560.285429605941,72.1427182764757
"37",110.07,0,0,114.503143225796
"38",110.339,0,0,112.030984488177
"39",114.678,0,0,117.227210499205
"40",114.967,0,0,114.209405317246
"41",115.087,0,2640.25122146355,0
"42",115.244,5699.05030775576,0,0
"43",116.069,0,2640.25122146355,0
"44",116.759,0,0,117.227210499205
"45",117.782,5699.05030775576,0,0
"46",118.027,0,0,114.209405317246
"47",120.081,275.479578457837,1734.64073123799,0
"48",120.148,0,0,117.227210499205
"49",120.453,0,0,112.030984488177
"50",121.084,5699.05030775576,0,0
"51",121.565,0,560.285429605941,72.1427182764757
"52",122.286,0,560.285429605941,72.1427182764757
"53",123.523,0,0,117.227210499205
"54",123.851,0,0,114.209405317246
"55",127.085,0,0,117.227210499205
"56",127.418,0,0,114.209405317246
"57",128.071,337.280529382089,555.734844939103,64.4273927234508
"58",128.711,5699.05030775576,0,0
"59",129.099,0,0,113.796564133829
"60",129.1,0,0,113.796564133829
"61",129.582,0,0,117.227210499205
"62",130.082,0,0,115.306242321259
"63",131.118,0,1732.69701914365,0
"64",132.436,0,0,117.227210499205
"65",133.045,2927.67850723724,0,47.279324881275
"66",136.076,0,0,111.36177477563
"67",137.08,145.603319234054,0,107.998083098519
"68",138.055,0,0,116.10492841226
"69",139.611,0,0,117.227210499205
"70",141.288,0,0,117.227210499205
"71",141.935,0,0,114.209405317246
"72",143.106,0,0,114.352191564286
"73",144.076,0,0,117.227210499205
"74",145.108,0,0,117.227210499205
"75",146.199,5699.05030775576,0,0
"76",146.384,5699.05030775576,0,0
"77",147.113,0,0,116.365011359162
"78",147.238,0,0,114.209405317246
"79",148.076,5699.05030775576,0,0
"80",150.06,0,0,117.227210499205
"81",152.335,0,0,117.227210499205
"82",153.067,0,1914.7406448819,0
